['25', '141', '111', '250', '66', '206', '299', '44', '180', '370']
['386', '151', '109', '1', '245', '355', '227', '36', '145', '157']
['143', '341', '46', '222', '348', '149', '195', '188', '376', '313']
['75', '316', '246', '200', '190', '193', '343', '150', '27', '33']
['262', '360', '132', '89', '153', '173', '221', '291', '63', '40']
['367', '65', '380', '257', '309', '347', '302', '314', '205', '156']
['60', '131', '23', '58', '24', '264', '198', '102', '217', '208']
['235', '21', '201', '294', '338', '285', '368', '214', '114', '218']
['28', '336', '356', '7', '256', '106', '283', '107', '202', '373']
['50', '382', '278', '212', '81', '252', '146', '223', '147', '259']
['204', '142', '236', '88', '17', '365', '179', '311', '310', '47']
['233', '288', '104', '324', '29', '53', '115', '199', '272']
['315', '304', '396', '395', '172', '22', '35', '95', '171', '359']
['282', '80', '134', '69', '59', '295', '237', '129', '251', '334']
['242', '390', '337', '327', '19', '375', '319', '234', '191', '163']
['258', '176', '392', '270', '51', '224', '265', '49', '15', '318']
['87', '14', '160', '120', '34', '301', '170', '99', '333', '64']
['186', '154', '317', '247', '74', '331', '350', '378', '308', '110']
['12', '57', '43', '292', '98', '289', '177', '135', '93', '168']
['326', '3', '78', '121', '31', '276', '166', '118', '290', '108']
['280', '296', '144', '361', '275', '0', '189', '101', '152', '62']
['239', '92', '184', '374', '325', '169', '321', '45', '116', '90']
['130', '228', '85', '307', '372', '68', '357', '305', '220', '39']
['364', '273', '185', '312', '349', '387', '207', '174', '293', '287']
['253', '83', '243', '210', '67', '38', '300', '329', '340', '167']
['203', '211', '16', '26', '385', '82', '182', '125', '96', '384']
['379', '391', '94', '84', '123', '117', '298', '266', '260', '124']
['77', '363', '13', '91', '351', '268', '332', '346', '139', '241']
['322', '76', '335', '42', '54', '216', '323', '30', '354', '70']
['178', '9', '122', '164', '328', '297', '8', '175', '113', '366']
['103', '215', '209', '353', '279', '240', '6', '231', '2', '20']
['284', '397', '133', '56', '249', '97', '119', '232', '155', '183']
['72', '399', '281', '254', '219', '73', '383', '238', '32', '105']
['225', '86', '286', '140', '369', '126', '330', '127', '267', '320']
['371', '394', '162', '136', '393', '248', '112', '55', '362', '159']
['100', '306', '165', '158', '244', '71', '398', '339', '128', '377']
['342', '197', '4', '263', '79', '277', '148', '269', '229', '352']
['358', '389', '181', '344', '303', '137', '18', '5', '213', '161']
['192', '381', '37', '388', '274', '187', '138', '41', '345', '230']
['271', '48', '261', '61', '196', '11']
['255', '194', '226', '52', '10']
