['182', '244', '126', '20', '156', '381', '373', '214', '38', '44', '56', '29', '63', '297', '130', '378', '353', '203', '54', '192']
['31', '89', '335', '291', '279', '382', '25', '163', '328', '97', '390', '269', '41', '94', '368', '367', '358', '3', '181', '241']
['362', '79', '69', '159', '399', '229', '246', '179', '371', '137', '316', '118', '264', '258', '380', '245', '62', '310', '305', '286']
['22', '278', '176', '168', '120', '157', '346', '396', '95', '161', '327', '35', '75', '173', '12', '132', '174', '152', '99', '122']
['314', '340', '145', '267', '116', '59', '202', '164', '131', '47', '165', '338', '5', '42', '19', '277', '281', '365', '228', '398']
['333', '50', '106', '170', '205', '315', '224', '249', '319', '217', '71', '308', '28', '263', '185', '64', '150', '129', '219', '206']
['17', '268', '58', '322', '210', '285', '102', '383', '184', '331', '189', '61', '188', '1', '11', '53', '60', '43', '343', '123']
['16', '248', '276', '70', '142', '96', '107', '302', '348', '216', '350', '298', '271', '194', '139', '90', '83', '290', '341', '243']
['360', '299', '199', '342', '307', '111', '256', '272', '81', '37', '357', '231', '7', '172', '57', '27', '329', '287', '14', '171']
['230', '200', '32', '208', '330', '251', '77', '369', '389', '92', '247', '121', '387', '265', '288', '135', '236', '352', '26', '169']
['91', '309', '394', '384', '321', '397', '21', '257', '144', '128', '218', '23', '318', '98', '18', '284', '140', '385', '153', '4']
['283', '48', '349', '125', '377', '253', '239', '196', '266', '45', '175', '178', '234', '204', '296', '127', '112', '103', '345', '8']
['10', '6', '386', '222', '30', '15', '147', '207', '160', '108', '138', '167', '221', '275', '187', '93', '261', '87', '100', '252']
['68', '313', '74', '306', '143', '355', '84', '344', '9', '301', '186', '105', '262', '326', '76', '393', '227', '86', '65', '325']
['320', '292', '46', '201', '334', '212', '254', '295', '273', '312', '240', '73', '72', '180', '255', '177', '0', '52', '242', '356']
['2', '374', '109', '300', '67', '82', '183', '336', '146', '166', '85', '232', '293', '134', '372', '198', '49', '260', '113', '351']
['104', '39', '195', '303', '324', '359', '136', '148', '33', '237', '151', '289', '78', '158', '34', '391', '215', '282', '250', '259']
['379', '220', '225', '209', '339', '191', '110', '294', '223', '274', '162', '238', '304', '80', '13', '51', '197', '337', '332', '149']
['213', '124', '323', '280', '233', '376', '311', '115', '317', '119', '226', '270', '155', '370', '36', '363', '101', '361', '211', '141']
['347', '114', '364', '388', '395', '66', '40', '193', '88', '366', '154', '24', '117', '55', '235', '133', '375', '190', '392', '354']
