['121', '111', '176', '50', '213', '205', '33', '242', '93', '183']
['94', '130', '194', '10', '212', '124', '237', '232', '17', '14']
['195', '23', '123', '110', '244', '65', '230', '51', '22', '39']
['172', '72', '203', '6', '169', '146', '209', '64', '147', '115']
['219', '89', '187', '214', '62', '206', '171', '117', '216', '227']
['218', '200', '112', '91', '165', '25', '99', '16', '15', '143']
['136', '100', '118', '175', '27', '35', '173', '47', '174', '68']
['177', '60', '222', '204', '85', '184', '74', '75', '159', '126']
['0', '41', '52', '77', '82', '109', '128', '133', '153', '190']
['28', '45', '59', '78', '127', '135', '138', '155', '161', '215']
['2', '66', '98', '114', '125', '149', '166', '201', '224', '247']
['48', '55', '73', '108', '144', '157', '179', '198', '236', '239']
['18', '32', '71', '102', '150', '164', '189', '211', '217', '228']
['1', '53', '84', '92', '142', '145', '160', '163', '170', '207']
['4', '29', '46', '168', '182', '185', '196', '223', '235', '241']
['31', '44', '63', '90', '101', '103', '152', '162', '181', '199']
['30', '107', '122', '156', '188', '208', '226', '229', '231', '248']
['34', '54', '67', '97', '113', '137', '151', '210', '238', '249']
['5', '13', '20', '40', '43', '58', '70', '132', '191', '240']
['7', '37', '61', '87', '158', '178', '193', '202', '220', '221']
['8', '24', '26', '86', '88', '95', '120', '134', '197', '233']
['3', '19', '21', '36', '38', '56', '57', '80', '105', '129']
['12', '76', '79', '104', '106', '139', '141', '148', '167', '192']
['42', '83', '116', '243', '245', '234', '225', '180', '154', '140']
['9', '186', '246', '11', '49', '69', '81', '96', '119', '131']
