['4', '18', '40', '89', '113', '164', '172', '198', '228', '242', '321', '331', '339', '342', '346', '389', '443', '448', '485', '499']
['68', '107', '112', '126', '139', '185', '186', '194', '243', '244', '249', '250', '254', '334', '418', '434', '441', '459', '486', '495']
['58', '92', '109', '128', '162', '176', '213', '229', '235', '265', '284', '298', '314', '322', '329', '336', '375', '388', '439', '471']
['60', '81', '83', '85', '95', '133', '145', '149', '178', '201', '205', '237', '247', '316', '343', '403', '415', '450', '479', '493']
['29', '31', '38', '72', '78', '100', '171', '180', '189', '259', '295', '325', '355', '361', '397', '409', '426', '454', '461', '467']
['24', '27', '53', '76', '87', '117', '130', '196', '208', '224', '234', '258', '366', '374', '377', '382', '384', '414', '466', '491']
['56', '91', '122', '150', '215', '263', '269', '277', '279', '305', '311', '320', '369', '371', '379', '390', '412', '427', '432', '446']
['0', '30', '131', '167', '179', '204', '210', '231', '294', '297', '328', '351', '357', '364', '401', '428', '465', '469', '478', '480']
['2', '14', '59', '98', '99', '118', '155', '169', '191', '197', '239', '240', '299', '413', '419', '424', '433', '438', '455', '492']
['9', '21', '88', '97', '106', '123', '134', '147', '158', '209', '217', '248', '293', '307', '323', '332', '344', '349', '399', '463']
['25', '35', '46', '47', '63', '79', '102', '129', '190', '220', '232', '260', '272', '340', '362', '380', '381', '430', '464', '497']
['6', '57', '70', '84', '110', '141', '142', '148', '184', '206', '270', '271', '278', '304', '335', '350', '354', '406', '416', '420']
['3', '8', '12', '16', '20', '37', '138', '174', '216', '221', '266', '324', '353', '356', '368', '402', '417', '421', '442', '453']
['22', '50', '52', '66', '71', '93', '94', '108', '161', '223', '255', '280', '292', '306', '347', '358', '407', '475', '490', '494']
['39', '42', '44', '49', '96', '101', '135', '153', '165', '181', '195', '214', '256', '257', '395', '405', '425', '429', '462', '498']
['5', '23', '69', '115', '140', '143', '175', '212', '230', '245', '274', '319', '370', '392', '400', '411', '472', '477', '489', '496']
['26', '43', '77', '86', '116', '125', '132', '144', '200', '219', '225', '227', '262', '303', '317', '327', '440', '445', '452', '483']
['74', '103', '121', '124', '166', '187', '207', '218', '226', '253', '275', '296', '310', '326', '341', '394', '404', '408', '449', '460']
['10', '28', '33', '51', '67', '75', '160', '173', '183', '233', '282', '289', '330', '337', '376', '385', '391', '456', '470', '474']
['17', '45', '65', '114', '119', '120', '192', '202', '252', '267', '268', '273', '285', '287', '313', '383', '387', '444', '476', '481']
['1', '11', '41', '55', '62', '64', '111', '127', '136', '146', '211', '238', '291', '308', '309', '367', '422', '435', '487', '488']
['32', '54', '80', '199', '203', '286', '312', '315', '318', '338', '359', '360', '372', '373', '386', '393', '398', '436', '457', '468']
['13', '34', '73', '82', '90', '105', '152', '168', '170', '222', '241', '246', '251', '261', '264', '276', '283', '302', '378', '484']
['104', '182', '236', '288', '300', '301', '333', '348', '352', '431', '458', '473', '482', '447', '437', '423', '410', '396', '365', '363']
['7', '137', '159', '19', '157', '61', '151', '154', '177', '290', '451', '193', '188', '15', '36', '48', '156', '163', '281', '345']
