['456', '209', '287', '416', '323', '160', '134', '68', '434', '469']
['228', '25', '237', '105', '172', '335', '44', '27', '333', '234']
['439', '86', '341', '43', '162', '334', '188', '29', '404', '452']
['427', '79', '236', '218', '152', '301', '87', '259', '288', '253']
['49', '377', '270', '467', '364', '273', '425', '321', '66', '132']
['350', '50', '225', '357', '170', '63', '190', '166', '233', '131']
['117', '16', '293', '158', '367', '180', '384', '359', '305', '8']
['242', '380', '12', '10', '362', '421', '92', '197', '5', '74']
['62', '211', '258', '251', '226', '257', '30', '355', '392', '246']
['203', '175', '223', '205', '438', '491', '401', '442', '118', '224']
['358', '169', '363', '328', '400', '232', '319', '106', '475', '278']
['201', '195', '378', '393', '110', '486', '411', '409', '194', '113']
['346', '437', '125', '472', '426', '283', '312', '353', '481', '458']
['89', '406', '186', '478', '255', '261', '182', '4', '263', '274']
['344', '271', '212', '419', '231', '161', '497', '37', '98', '45']
['51', '155', '412', '275', '473', '285', '352', '184', '193', '453']
['269', '191', '494', '21', '72', '138', '329', '15', '374', '135']
['120', '149', '379', '121', '126', '94', '153', '235', '91', '216']
['493', '137', '307', '178', '485', '46', '332', '340', '375', '84']
['489', '6', '244', '462', '407', '239', '171', '36', '54', '42']
['460', '417', '55', '394', '165', '111', '240', '351', '304', '436']
['463', '28', '443', '114', '390', '360', '308', '492', '446', '268']
['53', '325', '300', '39', '372', '496', '499', '262', '465', '145']
['479', '2', '206', '280', '294', '395', '483', '471', '247', '243']
['327', '185', '396', '445', '455', '77', '391', '250', '432', '217']
['41', '484', '282', '385', '14', '238', '167', '159', '474', '210']
['376', '229', '88', '151', '482', '183', '163', '272', '26', '322']
['296', '286', '83', '230', '302', '103', '220', '389', '116', '477']
['3', '22', '33', '146', '198', '284', '309', '365', '381', '480']
['23', '24', '35', '104', '192', '265', '324', '338', '403', '414']
['18', '32', '181', '214', '219', '267', '331', '405', '457', '464']
['97', '291', '298', '315', '316', '320', '330', '383', '428', '488']
['38', '95', '101', '179', '260', '297', '339', '356', '387', '420']
['19', '130', '156', '221', '254', '345', '399', '429', '454', '476']
['1', '80', '112', '119', '140', '199', '306', '369', '444', '487']
['11', '100', '174', '256', '292', '368', '402', '441', '449', '498']
['58', '59', '69', '73', '78', '85', '108', '202', '208', '398']
['71', '99', '129', '187', '279', '354', '370', '373', '388', '408']
['9', '17', '76', '82', '96', '115', '141', '336', '397', '495']
['56', '81', '90', '142', '266', '281', '371', '424', '431', '447']
['48', '57', '123', '124', '147', '189', '299', '361', '422', '435']
['34', '60', '70', '139', '248', '249', '276', '290', '318', '433']
['0', '107', '148', '157', '295', '343', '347', '461', '466', '468']
['31', '40', '65', '127', '154', '207', '222', '314', '326', '451']
['20', '102', '128', '143', '176', '200', '241', '252', '386', '470']
['122', '164', '204', '303', '342', '349', '410', '440', '448', '490']
['52', '64', '150', '168', '177', '227', '264', '310', '317', '382']
['47', '144', '215', '459', '450', '423', '415', '413', '366', '348']
['196', '418', '430', '337', '313', '311', '289', '277', '245', '213']
['61', '7', '13', '67', '75', '93', '109', '133', '136', '173']
