['206', '78', '305', '158', '149', '249', '298', '160', '96', '45', '312', '264', '272', '195', '34', '42', '213', '83', '89', '358', '187', '49', '223', '238', '218', '184', '85', '115', '13', '59']
['188', '226', '337', '60', '274', '69', '283', '216', '343', '341', '265', '204', '364', '105', '286', '375', '134', '141', '18', '362', '295', '279', '208', '373', '323', '98', '317', '207', '52', '156']
['127', '371', '178', '102', '300', '48', '307', '136', '256', '62', '185', '108', '9', '251', '365', '319', '329', '303', '267', '51', '180', '130', '273', '334', '25', '342', '94', '111', '66', '110']
['292', '21', '214', '201', '76', '81', '128', '40', '297', '287', '260', '348', '74', '10', '199', '243', '328', '147', '28', '36', '196', '91', '15', '113', '289', '367', '217', '225', '75', '315']
['87', '356', '39', '322', '182', '72', '325', '55', '167', '284', '349', '241', '240', '202', '43', '331', '345', '53', '369', '231', '26', '33', '229', '193', '247', '360', '31', '165', '179', '253']
['259', '64', '197', '123', '145', '169', '24', '120', '320', '339', '237', '151', '351', '234', '220', '309', '332', '19', '100', '143', '103', '281', '376', '290', '70', '257', '346', '210', '171', '374']
['133', '314', '246', '131', '125', '268', '118', '142', '117', '139', '336', '228', '245', '164', '262', '153', '276', '235', '354', '221', '162', '58', '310', '176', '270', '174', '368', '190', '294', '370']
['1', '2', '3', '4', '5', '11', '12', '16', '22', '23', '29', '30', '37', '38', '46', '47', '56', '57', '67', '68', '79', '80', '92', '93', '254', '255', '326', '327', '352', '353']
['6', '7', '8', '84', '88', '106', '107', '114', '121', '122', '129', '137', '138', '154', '155', '172', '173', '191', '192', '211', '212', '232', '233', '252', '277', '278', '299', '301', '302', '372']
['338', '366', '363', '361', '359', '357', '355', '350', '347', '344', '340', '335', '333', '330', '324', '321', '318', '316', '313', '311', '308', '306', '304', '293', '291', '288', '285', '282', '280', '275']
['296', '271', '269', '266', '263', '261', '258', '250', '248', '244', '242', '239', '236', '230', '227', '224', '222', '219', '215', '209', '205', '203', '200', '198', '194', '189', '186', '183', '181', '177']
['377', '175', '170', '168', '166', '163', '161', '159', '157', '152', '150', '148', '146', '144', '140', '135', '132']
['14', '17', '20', '27', '32', '35', '41', '44', '50', '54', '61', '63', '65', '71', '73', '77', '82', '86', '90', '95', '97', '99', '101', '104', '109', '112', '116', '119', '124', '126']
