['8', '12', '84', '106', '108', '125', '140', '156', '166', '189', '199', '206', '218', '236', '238', '242']
['24', '69', '110', '114', '138', '153', '155', '180', '202', '203', '205', '207', '215', '224', '227', '229']
['15', '19', '35', '38', '57', '128', '137', '159', '173', '186', '187', '191', '195', '210', '219', '235']
['10', '41', '51', '58', '73', '76', '78', '93', '133', '143', '146', '149', '162', '163', '172', '230']
['6', '20', '31', '52', '88', '96', '102', '107', '113', '150', '154', '185', '196', '225', '254', '255']
['26', '112', '116', '117', '120', '126', '129', '171', '174', '184', '190', '213', '226', '233', '244', '253']
['16', '68', '111', '123', '142', '145', '161', '183', '192', '216', '217', '223', '240', '246', '249', '251']
['5', '50', '64', '72', '77', '103', '109', '131', '139', '152', '179', '204', '208', '211', '214', '245']
['3', '7', '21', '29', '46', '75', '121', '122', '130', '158', '175', '209', '239', '241', '243', '250']
['34', '36', '40', '43', '47', '59', '80', '87', '101', '105', '115', '119', '141', '144', '151', '220']
['17', '27', '30', '44', '53', '63', '81', '95', '97', '100', '124', '134', '147', '169', '181', '232']
['1', '9', '11', '14', '23', '37', '48', '67', '86', '89', '94', '148', '188', '197', '221', '234']
['13', '39', '60', '61', '62', '70', '71', '90', '176', '177', '178', '194', '228', '237', '248', '252']
['18', '25', '28', '45', '56', '91', '98', '104', '118', '127', '136', '157', '160', '168', '212', '222']
['2', '32', '49', '65', '74', '79', '82', '83', '85', '92', '164', '167', '170', '182', '193', '200']
['201', '231', '0', '66', '99', '165', '132', '198', '247', '33', '4', '22', '42', '54', '55', '135']
