['51', '6', '13']
['48', '53', '20']
['25', '38', '15']
['3', '45', '16']
['35', '27', '41']
['31', '37', '0']
['17', '55', '18']
['10', '50', '54']
['33', '39', '30']
['32', '14', '40']
['19', '42', '29']
['8', '23', '57']
['43', '21', '26']
['12', '47', '56']
['9', '46', '36']
['58', '22', '24']
['2', '4', '52']
['11', '1', '5']
['44', '49', '34']
['A52', 'C52', 'D52']
['A2', 'C2', 'D2']
['A6', 'C6', 'D6']
['A12', 'C12', 'D12']
['A4', 'C4', 'D4']
['A10', 'C10', 'D10']
['A50', 'C50', 'D50']
['A8', 'C8', 'D8']
['A16', 'C16', 'D16']
['A48', 'C48', 'D48']
['A22', 'C22', 'D22']
['A46', 'C46', 'D46']
['A44', 'C44', 'D44']
['A20', 'C20', 'D20']
['A14', 'B14', 'D14']
['A25', 'C25', 'D25']
['A18', 'B18', 'D18']
['A42', 'B42', 'D42']
['A30', 'C30', 'D30']
['A28', 'C28', 'D28']
['A40', 'C40', 'D40']
['A15', 'B15', 'D15']
['A34', 'B34', 'D34']
['A38', 'C38', 'D38']
['A36', 'C36', 'D36']
['A27', 'C27', 'D27']
['A1', 'C1', 'D1']
['A33', 'C33', 'D33']
['A19', 'B19', 'D19']
['A35', 'B35', 'D35']
['A43', 'B43', 'D43']
['A23', 'B23', 'D23']
['A31', 'B31', 'D31']
['A53', 'B53', 'D53']
['A3', 'B3', 'D3']
['A5', 'B5', 'D5']
['A7', 'B7', 'D7']
['A9', 'B9', 'D9']
['A54', 'B54', 'D54']
['A11', 'B11', 'D11']
['A13', 'B13', 'D13']
['A17', 'B17', 'D17']
['A21', 'B21', 'D21']
['A24', 'B24', 'D24']
['A51', 'B51', 'D51']
['A29', 'B29', 'D29']
['A37', 'B37', 'D37']
['A26', 'B26', 'D26']
['A39', 'B39', 'D39']
['A32', 'B32', 'D32']
['A41', 'B41', 'D41']
['A45', 'B45', 'D45']
['A47', 'B47', 'D47']
['A49', 'B49', 'D49']
['A0', 'B0', 'D0']
['H53', 'E54', 'H54']
['H1', 'E2', 'H2']
['H3', 'E4', 'H4']
['H11', 'E12', 'H12']
['H5', 'E6', 'H6']
['H7', 'E8', 'H8']
['H23', 'E24', 'H24']
['H15', 'E16', 'H16']
['H35', 'E36', 'H36']
['H13', 'E14', 'H14']
['H33', 'E34', 'H34']
['H9', 'E10', 'H10']
['H17', 'E18', 'H18']
['H29', 'E30', 'H30']
['E27', 'F27', 'H27']
['H21', 'E22', 'H22']
['H19', 'E20', 'H20']
['E44', 'F44', 'H44']
['H25', 'E26', 'H26']
['H45', 'E46', 'H46']
['H41', 'E42', 'H42']
['H31', 'E32', 'H32']
['E37', 'H37', 'H38']
['H39', 'E40', 'H40']
['E47', 'H47', 'H48']
['E50', 'F50', 'H50']
['H51', 'E52', 'H52']
['E0', 'G0', 'H0']
['E28', 'F28', 'G28']
['E43', 'F43', 'G43']
['E49', 'F49', 'G49']
['E53', 'F53', 'G53']
['E51', 'F51', 'G51']
['E1', 'F1', 'G1']
['E48', 'F48', 'G48']
['E3', 'F3', 'G3']
['E5', 'F5', 'G5']
['E7', 'F7', 'G7']
['E9', 'F9', 'G9']
['E45', 'F45', 'G45']
['E11', 'F11', 'G11']
['E13', 'F13', 'G13']
['E15', 'F15', 'G15']
['E17', 'F17', 'G17']
['E19', 'F19', 'G19']
['E21', 'F21', 'G21']
['E23', 'F23', 'G23']
['E25', 'F25', 'G25']
['E29', 'F29', 'G29']
['E31', 'F31', 'G31']
['E33', 'F33', 'G33']
['E35', 'F35', 'G35']
['E38', 'F38', 'G38']
['E39', 'F39', 'G39']
['E41', 'F41', 'G41']
['C14', 'C15', '28']
['G2', 'C18', 'C19']
['C34', 'C42', 'C43']
['C35', 'G54', 'F54']
['G52', 'C54', 'C53']
['59', 'F52', 'B50']
['C0', 'C49', 'G47']
['H28', 'F47', 'F46']
['F12', 'B46', 'C45']
['F32', 'G44', 'B44']
['B38', 'F42', 'C41']
['C51', 'G40', 'B40']
['B48', 'C39', 'G37']
['B6', 'F37', 'G36']
['G10', 'F36', 'B36']
['C37', 'F34', 'B33']
['B2', 'G32', 'C32']
['F22', 'C31', 'G30']
['F40', 'C29', 'G27']
['F30', 'G26', 'F26']
['G34', 'C26', 'G24']
['F14', 'G20', 'G42']
['F16', 'F24', 'C23']
['B22', 'G22', 'C21']
['C5', 'F20', 'B20']
['B25', 'G18', 'C17']
['H49', 'G16', 'B16']
['C24', 'C13', 'G12']
['B30', 'C11', 'F10']
['G14', 'B10', 'C9']
['G50', 'G8', 'F8']
['H43', 'B8', 'C7']
['B52', 'G6', 'F6']
['B27', 'G46', 'C47']
['F2', 'G4', 'F4']
['F0', 'B12', 'F18']
['B28', 'B4']
['7', 'B1', 'C3']
