['45', '177', '38', '123', '329', '220', '111', '275', '116', '269', '91', '42', '106', '79', '265', '184', '48', '277', '1', '270']
['254', '267', '105', '349', '239', '62', '36', '292', '80', '20', '112', '66', '94', '49', '396', '342', '138', '12', '200', '131']
['47', '318', '102', '72', '278', '130', '136', '114', '69', '144', '67', '273', '186', '76', '6', '83', '373', '289', '193', '103']
['341', '368', '369', '300', '206', '207', '180', '266', '182', '108', '61', '173', '120', '250', '290', '334', '32', '362', '147', '197']
['371', '85', '251', '397', '164', '258', '185', '89', '294', '219', '65', '71', '24', '87', '151', '10', '312', '41', '64', '262']
['393', '92', '276', '372', '245', '153', '365', '154', '238', '231', '201', '247', '58', '157', '302', '240', '308', '361', '261', '311']
['210', '223', '280', '284', '204', '316', '77', '96', '354', '28', '122', '391', '189', '228', '390', '297', '100', '348', '310', '257']
['68', '156', '97', '296', '203', '301', '170', '51', '190', '132', '53', '395', '149', '165', '217', '19', '298', '331', '304', '399']
['171', '337', '161', '178', '179', '336', '328', '320', '321', '322', '323', '324', '325', '326', '330', '332', '333', '335', '338', '339']
['0', '2', '3', '4', '7', '8', '9', '11', '13', '14', '15', '16', '17', '18', '34', '35', '39', '23', '26', '29']
['351', '398', '355', '344', '347', '340', '353', '356', '357', '358', '359', '343', '345', '346', '350', '385', '389', '394', '382', '383']
['378', '377', '224', '225', '226', '227', '229', '230', '232', '233', '234', '235', '236', '237', '221', '376', '363', '367', '374', '379']
['52', '40', '43', '44', '46', '50', '54', '55', '56', '57', '59', '259', '243', '244', '246', '248', '249', '252', '253', '255']
['293', '140', '141', '142', '143', '145', '146', '148', '150', '152', '155', '158', '159', '288', '299', '281', '282', '285', '286', '287']
['126', '128', '129', '133', '135', '137', '139', '121', '125', '127', '187', '192', '194', '195', '196', '198', '199', '181', '183', '188']
['98', '99', '81', '82', '84', '86', '88', '90', '93', '95', '118', '101', '104', '107', '109', '110', '113', '115', '117', '119']
['160', '162', '163', '166', '167', '168', '169', '172', '174', '176', '175', '215', '202', '205', '208', '209', '212', '213', '214', '218']
['21', '27', '30', '274', '314', '303', '260', '263', '264', '268', '271', '272', '279', '317', '305', '306', '307', '313', '315', '319']
['37', '31', '70', '73', '74', '75', '78', '60', '63', '388', '360', '364', '366', '370', '375', '384', '386', '387', '380', '381']
['241', '211', '327', '222', '25', '5', '392', '124', '309', '352', '33', '22', '134', '256', '283', '191', '216', '242', '291', '295']
