['29', '68', '11', '117', '62', '130', '123', '129', '43', '125', '54', '94', '66', '131', '119', '50', '108', '45', '83', '120']
['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '14', '15', '16', '17', '18', '19', '23', '25', '39']
['20', '21', '22', '24', '26', '30', '36', '38', '41', '44', '48', '49', '51', '52', '56', '59', '60', '61', '65', '85']
['27', '32', '33', '35', '53', '55', '73', '78', '79', '86', '90', '96', '97', '99', '101', '102', '106', '109', '116', '122']
['57', '63', '67', '71', '74', '80', '88', '89', '93', '105', '107', '114', '124', '127', '134', '136', '137', '146', '152', '178']
['58', '70', '81', '91', '92', '104', '111', '112', '118', '144', '145', '147', '151', '158', '168', '171', '182', '184', '192', '193']
['13', '34', '42', '77', '82', '103', '159', '163', '174', '201', '206', '210', '215', '219', '226', '234', '237', '249', '260', '373']
['28', '31', '37', '46', '69', '95', '110', '138', '141', '165', '166', '208', '212', '217', '247', '250', '258', '272', '378', '399']
['12', '64', '72', '100', '128', '142', '149', '150', '187', '191', '194', '196', '218', '220', '248', '293', '304', '334', '343', '344']
['40', '47', '133', '139', '140', '143', '148', '155', '156', '211', '216', '223', '236', '269', '278', '300', '321', '339', '371', '398']
['160', '161', '162', '164', '167', '169', '170', '173', '175', '179', '244', '259', '287', '311', '316', '325', '329', '346', '366', '367']
['172', '176', '177', '180', '181', '183', '185', '186', '188', '189', '299', '302', '348', '350', '352', '358', '364', '369', '381', '397']
['135', '153', '154', '157', '190', '197', '198', '199', '200', '202', '205', '207', '209', '241', '261', '264', '297', '327', '370', '384']
['195', '227', '229', '235', '242', '270', '271', '279', '290', '298', '305', '307', '309', '310', '326', '333', '353', '355', '362', '383']
['221', '395', '394', '393', '392', '391', '390', '389', '388', '387', '386', '385', '382', '379', '377', '376', '375', '374', '372', '368']
['380', '365', '363', '361', '360', '359', '356', '354', '351', '349', '347', '345', '342', '341', '340', '338', '337', '336', '335', '332']
['357', '331', '330', '328', '324', '323', '322', '320', '319', '318', '317', '315', '314', '313', '312', '308', '306', '303', '301', '296']
['396', '295', '294', '292', '289', '288', '286', '285', '284', '283', '282', '281', '280', '277', '276', '275', '274', '273', '268', '267']
['291', '266', '265', '263', '262', '257', '256', '255', '254', '253', '252', '251', '246', '245', '243', '240', '239', '238', '233', '232']
['87', '132', '121', '76', '115', '84', '113', '126', '98', '75', '203', '204', '213', '214', '222', '224', '225', '228', '230', '231']
