['294', '319', '308', '221', '83', '4', '76', '383', '156', '200', '302', '61', '188', '310', '456', '306', '321', '463', '397', '280', '394', '22', '234', '40', '497']
['170', '209', '143', '189', '263', '327', '438', '450', '29', '488', '373', '90', '123', '274', '369', '396', '242', '455', '57', '245', '181', '236', '464', '210', '340']
['0', '18', '43', '58', '68', '95', '113', '133', '141', '163', '198', '235', '238', '267', '281', '283', '304', '331', '350', '377', '393', '432', '449', '457', '486']
['24', '45', '55', '77', '81', '87', '154', '165', '174', '176', '177', '246', '250', '255', '270', '273', '297', '305', '312', '318', '344', '384', '391', '408', '492']
['1', '21', '25', '35', '56', '114', '119', '130', '135', '137', '138', '168', '183', '207', '228', '231', '352', '362', '375', '379', '390', '425', '477', '491', '494']
['34', '39', '60', '62', '65', '67', '71', '104', '106', '136', '153', '162', '175', '208', '219', '232', '240', '249', '337', '410', '440', '459', '469', '482', '484']
['3', '23', '96', '97', '103', '121', '199', '252', '272', '276', '279', '287', '296', '314', '317', '320', '345', '392', '395', '407', '424', '431', '446', '452', '467']
['33', '66', '70', '110', '115', '146', '184', '192', '195', '213', '215', '237', '241', '254', '259', '278', '357', '365', '380', '387', '418', '468', '473', '475', '495']
['20', '38', '46', '102', '108', '124', '145', '149', '186', '191', '222', '258', '324', '332', '334', '336', '342', '348', '360', '378', '401', '430', '441', '448', '458']
['2', '42', '78', '111', '116', '125', '132', '202', '220', '223', '251', '261', '264', '301', '335', '346', '353', '358', '406', '453', '461', '478', '479', '480', '499']
['7', '17', '26', '50', '112', '118', '131', '148', '151', '179', '185', '196', '206', '217', '225', '256', '338', '343', '351', '381', '400', '402', '433', '439', '465']
['5', '27', '41', '51', '52', '53', '72', '85', '127', '171', '180', '182', '193', '201', '239', '262', '269', '285', '292', '307', '329', '339', '371', '487', '498']
['28', '30', '31', '64', '74', '79', '128', '158', '167', '187', '204', '211', '233', '295', '363', '385', '415', '417', '428', '429', '444', '447', '470', '489', '496']
['12', '14', '54', '92', '93', '105', '120', '129', '214', '244', '289', '313', '355', '366', '403', '413', '420', '422', '434', '442', '454', '460', '462', '483', '490']
['37', '44', '86', '98', '107', '109', '140', '144', '160', '173', '197', '218', '227', '266', '275', '286', '298', '311', '316', '354', '361', '404', '426', '435', '474']
['6', '10', '11', '13', '69', '73', '80', '84', '94', '99', '150', '152', '161', '203', '229', '247', '265', '268', '293', '322', '330', '419', '421', '451', '471']
['36', '88', '89', '139', '155', '164', '166', '169', '178', '212', '243', '248', '260', '282', '299', '309', '325', '341', '368', '374', '389', '409', '411', '414', '427']
['19', '47', '100', '147', '205', '216', '224', '253', '277', '288', '300', '315', '349', '356', '367', '370', '372', '388', '398', '399', '416', '437', '445', '481', '493']
['8', '48', '49', '59', '82', '91', '101', '117', '157', '190', '226', '230', '257', '284', '290', '291', '303', '333', '359', '386', '423', '436', '443', '476', '485']
['382', '405', '323', '376', '472', '9', '194', '326', '172', '347', '328', '134', '63', '142', '16', '15', '466', '364', '32', '122', '126', '271', '412', '75', '159']
