['246', '476', '43', '131', '142', '319', '147', '56', '488', '90', '417', '376', '5', '494', '253', '212', '304', '99', '36', '145']
['326', '52', '91', '485', '4', '394', '447', '354', '284', '375', '385', '314', '148', '403', '349', '77', '292', '95', '345', '377']
['257', '339', '309', '201', '14', '275', '427', '190', '389', '268', '33', '0', '87', '103', '305', '177', '34', '141', '379', '226']
['252', '234', '221', '344', '463', '357', '209', '113', '282', '120', '330', '480', '55', '288', '437', '189', '105', '27', '51', '369']
['193', '64', '176', '342', '240', '440', '470', '198', '358', '464', '436', '269', '453', '74', '306', '256', '222', '28', '230', '272']
['115', '196', '434', '370', '300', '227', '461', '467', '116', '216', '402', '73', '219', '157', '135', '301', '151', '466', '229', '203']
['159', '316', '335', '327', '31', '173', '188', '487', '489', '395', '373', '174', '15', '110', '248', '416', '372', '482', '468', '356']
['271', '128', '231', '313', '238', '83', '75', '351', '383', '129', '13', '479', '96', '255', '119', '348', '214', '18', '59', '6']
['496', '207', '409', '21', '127', '320', '336', '89', '262', '104', '374', '206', '407', '237', '93', '218', '249', '426', '61', '168']
['439', '35', '208', '40', '311', '30', '331', '184', '412', '264', '401', '78', '317', '72', '293', '371', '199', '333', '23', '411']
['322', '124', '438', '338', '399', '228', '420', '451', '67', '185', '181', '94', '469', '392', '106', '445', '455', '60', '390', '393']
['8', '17', '19', '280', '281', '283', '285', '286', '287', '289', '290', '291', '294', '295', '296', '297', '298', '299', '343', '449']
['140', '144', '146', '149', '150', '152', '153', '154', '155', '156', '158', '260', '261', '266', '267', '273', '274', '278', '279', '423']
['100', '108', '160', '162', '163', '164', '165', '166', '167', '169', '170', '171', '172', '175', '178', '179', '473', '481', '493', '498']
['41', '42', '44', '45', '46', '47', '48', '49', '50', '53', '54', '57', '58', '244', '245', '251', '254', '259', '366', '367']
['2', '121', '122', '123', '125', '130', '132', '133', '134', '136', '137', '138', '139', '270', '362', '443', '484', '492', '495', '497']
['62', '69', '70', '76', '126', '324', '328', '329', '418', '441', '442', '444', '446', '450', '452', '454', '456', '457', '458', '459']
['81', '84', '85', '88', '92', '112', '340', '341', '347', '350', '353', '355', '359', '396', '428', '430', '431', '435', '471', '499']
['20', '22', '24', '25', '26', '29', '32', '37', '38', '39', '302', '307', '310', '315', '332', '352', '388', '421', '422', '425']
['1', '3', '7', '9', '11', '101', '111', '117', '187', '200', '204', '210', '213', '215', '217', '360', '429', '465', '477', '478']
['63', '65', '71', '79', '312', '361', '363', '365', '368', '378', '381', '384', '387', '391', '397', '398', '400', '406', '413', '419']
['10', '16', '82', '86', '97', '98', '183', '220', '223', '224', '232', '233', '235', '239', '263', '346', '380', '382', '424', '433']
['66', '102', '107', '109', '114', '143', '180', '186', '191', '192', '194', '195', '404', '405', '408', '410', '414', '415', '448', '483']
['12', '202', '211', '236', '241', '242', '243', '247', '250', '258', '265', '308', '321', '323', '325', '334', '337', '460', '462', '472']
['161', '475', '474', '118', '68', '80', '182', '197', '205', '225', '276', '277', '303', '318', '364', '386', '432', '486', '490', '491']
