['61', '269', '101', '71', '212', '225', '46', '82', '129', '166', '460', '79', '283', '274', '182', '280', '9', '154', '224', '464', '351', '144', '324', '333', '372']
['128', '39', '75', '8', '423', '255', '223', '22', '458', '410', '413', '177', '486', '27', '201', '106', '368', '347', '245', '55', '268', '180', '479', '105', '332']
['422', '288', '209', '391', '239', '240', '235', '406', '291', '238', '242', '387', '64', '45', '298', '17', '228', '158', '388', '330', '57', '25', '178', '111', '304']
['6', '37', '41', '63', '74', '87', '98', '151', '167', '168', '186', '187', '215', '216', '220', '252', '300', '311', '316', '342', '403', '426', '435', '441', '472']
['3', '72', '95', '108', '142', '153', '195', '251', '273', '284', '314', '315', '317', '334', '360', '361', '363', '367', '392', '428', '438', '442', '449', '465', '473']
['13', '32', '35', '53', '62', '73', '80', '89', '93', '145', '152', '162', '175', '193', '275', '278', '307', '337', '366', '409', '420', '457', '484', '491', '496']
['12', '28', '65', '96', '116', '123', '126', '137', '190', '197', '258', '264', '290', '310', '320', '326', '353', '373', '386', '404', '405', '416', '455', '456', '497']
['16', '18', '19', '21', '33', '48', '49', '84', '86', '112', '127', '140', '147', '174', '189', '232', '323', '329', '338', '352', '364', '382', '480', '495', '499']
['2', '11', '15', '78', '110', '117', '133', '136', '143', '155', '159', '164', '221', '247', '270', '286', '296', '328', '357', '390', '399', '432', '434', '475', '494']
['30', '31', '97', '119', '160', '173', '176', '202', '204', '241', '259', '260', '375', '379', '380', '397', '415', '421', '429', '433', '445', '461', '481', '485', '489']
['0', '38', '47', '68', '70', '76', '179', '191', '206', '226', '257', '308', '356', '362', '393', '412', '414', '430', '446', '453', '459', '466', '471', '493', '498']
['1', '7', '34', '103', '113', '146', '183', '211', '214', '229', '254', '293', '303', '335', '344', '345', '365', '378', '396', '398', '402', '425', '470', '474', '477']
['4', '24', '26', '107', '121', '138', '169', '170', '171', '194', '218', '230', '243', '244', '267', '305', '309', '318', '319', '340', '408', '424', '431', '448', '476']
['42', '43', '54', '81', '100', '120', '157', '163', '198', '200', '207', '210', '233', '246', '248', '256', '282', '285', '295', '327', '341', '381', '440', '463', '478']
['10', '20', '44', '50', '52', '69', '115', '130', '185', '203', '208', '253', '265', '272', '276', '306', '343', '349', '350', '355', '370', '371', '385', '394', '437']
['114', '124', '125', '131', '139', '150', '205', '213', '217', '222', '237', '250', '262', '263', '266', '277', '287', '302', '348', '358', '395', '417', '427', '444', '447']
['5', '51', '59', '60', '85', '94', '132', '141', '148', '156', '184', '196', '236', '294', '299', '321', '322', '339', '346', '383', '450', '454', '469', '487', '492']
['29', '58', '99', '104', '135', '149', '161', '165', '172', '219', '261', '289', '292', '301', '376', '384', '389', '401', '407', '411', '436', '439', '443', '451', '483']
['23', '40', '67', '91', '102', '109', '118', '134', '188', '199', '227', '234', '279', '312', '313', '325', '331', '377', '400', '418', '452', '468', '482', '488', '490']
['249', '231', '419', '374', '359', '14', '467', '462', '297', '181', '281', '192', '77', '90', '92', '83', '271', '56', '36', '66', '88', '122', '336', '354', '369']
