['322', '344', '144', '48', '227', '234', '426', '93', '110', '282', '321', '487', '356', '44', '162', '272', '83', '492', '365', '223']
['425', '424', '213', '166', '102', '14', '250', '476', '183', '235', '186', '391', '333', '151', '368', '152', '326', '350', '458', '420']
['67', '388', '142', '134', '339', '441', '196', '372', '174', '488', '123', '27', '237', '85', '169', '455', '77', '267', '3', '443']
['222', '377', '307', '257', '87', '292', '117', '337', '230', '393', '411', '251', '103', '268', '75', '16', '228', '12', '468', '84']
['233', '131', '192', '22', '89', '435', '402', '470', '434', '202', '288', '127', '79', '319', '154', '254', '361', '286', '436', '231']
['30', '451', '124', '390', '238', '185', '109', '389', '438', '346', '240', '457', '143', '364', '442', '328', '437', '50', '274', '374']
['33', '18', '465', '461', '179', '399', '331', '226', '313', '464', '498', '417', '74', '409', '52', '47', '397', '49', '59', '5']
['76', '100', '113', '165', '178', '180', '191', '241', '246', '284', '318', '370', '373', '407', '416', '432', '473', '481', '493', '494']
['0', '2', '6', '7', '32', '66', '114', '200', '260', '262', '273', '315', '324', '383', '387', '406', '408', '418', '422', '475']
['1', '11', '20', '31', '57', '69', '146', '148', '150', '281', '285', '287', '293', '330', '336', '351', '360', '419', '456', '467']
['9', '70', '82', '140', '145', '156', '206', '208', '210', '247', '271', '289', '340', '342', '348', '381', '414', '427', '447', '496']
['21', '26', '39', '54', '63', '68', '177', '207', '211', '217', '224', '242', '252', '259', '275', '290', '308', '379', '395', '410']
['86', '107', '112', '158', '163', '219', '255', '295', '299', '306', '325', '345', '398', '401', '403', '433', '462', '463', '484', '485']
['53', '56', '58', '60', '61', '108', '128', '170', '189', '198', '215', '303', '304', '320', '353', '366', '380', '421', '449', '491']
['17', '28', '97', '122', '160', '175', '199', '203', '225', '229', '276', '279', '332', '349', '367', '423', '448', '452', '469', '472']
['25', '34', '40', '41', '91', '126', '184', '232', '244', '258', '280', '314', '327', '329', '334', '335', '343', '357', '371', '480']
['35', '42', '55', '72', '106', '116', '157', '201', '248', '263', '294', '301', '378', '394', '400', '428', '430', '454', '497', '495']
['23', '29', '51', '99', '104', '105', '118', '137', '153', '159', '171', '182', '266', '277', '291', '412', '413', '445', '450', '474']
['4', '10', '15', '45', '46', '65', '204', '256', '310', '312', '316', '341', '358', '362', '363', '369', '375', '453', '466', '499']
['243', '490', '489', '486', '483', '482', '479', '478', '471', '460', '459', '446', '444', '439', '431', '429', '415', '404', '396', '392']
['440', '386', '385', '384', '382', '376', '359', '355', '354', '352', '347', '323', '317', '311', '309', '305', '302', '300', '298', '297']
['477', '296', '283', '270', '269', '265', '264', '253', '249', '239', '236', '221', '220', '218', '216', '214', '212', '209', '205', '195']
['405', '194', '193', '190', '187', '181', '176', '173', '172', '168', '167', '164', '161', '155', '149', '147', '139', '138', '136', '135']
['188', '133', '132', '130', '129', '125', '121', '120', '119', '115', '111', '101', '98', '95', '94', '92', '90', '88', '81', '80']
['278', '141', '245', '338', '96', '197', '261', '8', '13', '19', '24', '36', '37', '38', '43', '62', '64', '71', '73', '78']
