['7', '14', '46', '48', '61', '100', '126', '155', '156', '169', '179', '199', '206', '213', '279', '324', '332', '347', '366', '388', '410', '435', '452', '475', '478']
['6', '21', '39', '55', '72', '76', '98', '106', '133', '139', '162', '174', '191', '258', '273', '286', '319', '378', '389', '393', '402', '406', '433', '444', '497']
['5', '26', '36', '82', '87', '90', '103', '123', '171', '175', '183', '186', '234', '264', '266', '267', '276', '304', '341', '346', '370', '401', '409', '456', '483']
['13', '28', '68', '81', '84', '151', '164', '180', '194', '195', '223', '233', '265', '272', '287', '325', '330', '350', '358', '369', '396', '420', '436', '495', '496']
['0', '33', '59', '138', '150', '196', '204', '231', '256', '289', '295', '353', '355', '379', '383', '386', '403', '419', '431', '439', '441', '450', '457', '469', '485']
['9', '37', '94', '113', '118', '121', '239', '259', '270', '298', '300', '320', '323', '326', '327', '334', '356', '359', '372', '387', '414', '427', '451', '479', '491']
['66', '70', '85', '89', '110', '124', '125', '141', '157', '165', '182', '207', '215', '229', '251', '261', '303', '316', '351', '412', '417', '418', '442', '464', '481']
['62', '86', '108', '129', '130', '152', '154', '170', '217', '221', '222', '230', '237', '262', '269', '292', '317', '335', '360', '361', '364', '375', '385', '443', '459']
['12', '15', '50', '112', '116', '117', '176', '228', '305', '307', '311', '328', '333', '336', '377', '382', '398', '400', '423', '437', '440', '455', '463', '482', '489']
['10', '27', '38', '64', '119', '131', '144', '168', '184', '214', '226', '227', '245', '247', '308', '312', '349', '352', '365', '392', '421', '425', '445', '454', '467']
['16', '42', '53', '78', '93', '95', '135', '145', '189', '190', '212', '216', '219', '220', '224', '242', '284', '290', '354', '357', '363', '430', '434', '465', '492']
['3', '19', '24', '32', '40', '44', '71', '80', '109', '132', '136', '147', '202', '232', '235', '248', '268', '281', '297', '315', '342', '345', '348', '432', '453']
['8', '17', '20', '30', '74', '91', '97', '111', '137', '143', '148', '153', '205', '255', '278', '288', '362', '381', '405', '424', '449', '466', '468', '471', '476']
['22', '31', '34', '60', '67', '77', '83', '105', '134', '173', '198', '201', '210', '275', '291', '294', '331', '343', '376', '390', '399', '413', '429', '448', '484']
['18', '52', '54', '63', '160', '161', '163', '172', '188', '197', '203', '208', '240', '243', '252', '299', '329', '380', '395', '407', '411', '426', '446', '470', '486']
['2', '4', '11', '43', '56', '115', '128', '159', '178', '185', '193', '209', '250', '263', '271', '282', '310', '318', '337', '338', '340', '394', '416', '438', '447']
['41', '49', '58', '65', '88', '92', '101', '107', '120', '140', '244', '253', '254', '283', '293', '301', '309', '321', '322', '415', '462', '477', '480', '487', '499']
['23', '29', '45', '114', '122', '127', '158', '181', '200', '218', '241', '249', '277', '285', '314', '367', '368', '374', '384', '391', '404', '408', '461', '474', '498']
['422', '494', '493', '490', '488', '473', '472', '460', '458', '428', '397', '373', '371', '344', '339', '313', '306', '302', '296', '280', '274', '260', '257', '246', '238']
['192', '1', '25', '35', '47', '51', '57', '69', '73', '75', '79', '96', '99', '102', '104', '142', '146', '149', '166', '167', '177', '187', '211', '225', '236']
