['305', '160', '46', '217', '337', '88', '369', '319', '367', '249', '7', '115', '396', '208', '180', '366', '202', '397', '215', '342']
['5', '233', '222', '98', '300', '182', '350', '129', '275', '73', '259', '81', '378', '339', '334', '178', '123', '385', '79', '358']
['201', '39', '24', '345', '105', '32', '17', '9', '35', '170', '392', '200', '297', '399', '75', '157', '146', '51', '1', '179']
['69', '0', '99', '64', '315', '376', '313', '198', '150', '22', '354', '254', '173', '212', '330', '44', '143', '126', '116', '169']
['6', '312', '137', '348', '347', '102', '151', '257', '261', '183', '355', '96', '167', '100', '364', '54', '344', '210', '251', '332']
['191', '229', '184', '298', '138', '228', '108', '21', '119', '83', '341', '145', '49', '97', '221', '368', '317', '398', '248', '379']
['205', '263', '316', '361', '165', '219', '258', '216', '292', '147', '213', '194', '114', '360', '365', '237', '326', '42', '11', '294']
['245', '76', '204', '139', '295', '120', '124', '61', '91', '240', '214', '227', '14', '23', '158', '274', '273', '287', '107', '130']
['338', '269', '203', '181', '155', '384', '309', '235', '301', '268', '136', '231', '29', '101', '391', '304', '323', '187', '283', '16']
['37', '132', '40', '218', '172', '10', '63', '28', '244', '388', '383', '370', '285', '278', '193', '241', '59', '389', '41', '322']
['72', '310', '236', '272', '152', '276', '284', '82', '359', '36', '353', '62', '140', '288', '34', '53', '363', '67', '27', '112']
['163', '90', '43', '393', '57', '266', '128', '336', '26', '380', '133', '234', '84', '207', '225', '55', '195', '30', '282', '153']
['371', '394', '168', '267', '104', '141', '192', '372', '311', '161', '60', '144', '260', '65', '223', '66', '329', '306', '246', '281']
['333', '270', '289', '375', '291', '162', '8', '33', '343', '122', '209', '293', '352', '94', '58', '381', '149', '20', '89', '340']
['2', '206', '121', '18', '131', '125', '196', '148', '328', '117', '357', '127', '25', '373', '113', '174', '103', '226', '239', '255']
['320', '74', '390', '224', '164', '70', '109', '3', '77', '185', '242', '264', '186', '56', '238', '279', '92', '93', '135', '71']
['85', '171', '166', '280', '47', '80', '327', '177', '111', '299', '142', '159', '199', '296', '176', '48', '13', '346', '318', '78']
['351', '87', '134', '86', '154', '374', '262', '247', '230', '314', '395', '271', '253', '45', '256', '19', '303', '382', '349', '95']
['190', '31', '387', '250', '175', '252', '211', '307', '68', '15', '265', '377', '308', '4', '232', '156', '331', '12', '324', '325']
['220', '243', '189', '106', '321', '110', '50', '286', '386', '362', '38', '356', '52', '290', '188', '197', '302', '118', '335', '277']
