['281', '219', '3', '212', '149', '297', '278', '210', '285', '2', '41', '333', '160', '355', '380', '392', '70', '214', '44', '373', '161', '178', '1', '130', '93']
['10', '35', '136', '205', '81', '282', '12', '24', '383', '50', '366', '327', '375', '154', '181', '234', '199', '119', '387', '27', '265', '289', '235', '62', '326']
['40', '324', '125', '159', '19', '382', '296', '353', '109', '39', '348', '8', '65', '129', '227', '74', '253', '311', '225', '391', '34', '209', '123', '32', '52']
['118', '261', '193', '215', '108', '111', '55', '85', '343', '262', '146', '389', '171', '319', '251', '82', '183', '92', '192', '168', '7', '342', '77', '106', '237']
['175', '107', '357', '59', '260', '143', '173', '300', '87', '188', '329', '240', '112', '166', '396', '322', '304', '76', '367', '158', '110', '5', '224', '53', '208']
['15', '28', '61', '89', '103', '114', '155', '164', '169', '185', '186', '226', '233', '246', '248', '252', '266', '272', '274', '275', '277', '316', '325', '356', '363']
['11', '13', '23', '33', '36', '37', '38', '79', '95', '96', '120', '124', '151', '174', '182', '213', '242', '271', '291', '320', '321', '362', '374', '385', '394']
['20', '29', '69', '98', '102', '122', '137', '141', '190', '194', '196', '200', '216', '228', '243', '250', '256', '263', '283', '298', '301', '309', '312', '313', '352']
['6', '56', '67', '73', '78', '131', '167', '180', '184', '191', '217', '269', '307', '314', '317', '335', '337', '344', '346', '351', '358', '365', '370', '381', '393']
['21', '42', '75', '84', '100', '127', '138', '139', '144', '150', '162', '197', '201', '206', '241', '244', '254', '257', '273', '279', '292', '310', '360', '369', '397']
['16', '66', '80', '91', '94', '105', '128', '132', '152', '153', '163', '172', '177', '202', '204', '221', '259', '268', '299', '331', '338', '354', '371', '372', '399']
['0', '14', '64', '71', '83', '86', '97', '104', '121', '135', '145', '148', '229', '247', '258', '270', '308', '341', '345', '349', '361', '368', '386', '390', '395']
['18', '22', '30', '43', '45', '48', '57', '58', '88', '113', '126', '147', '189', '211', '218', '222', '238', '267', '276', '280', '287', '293', '336', '378', '379']
['46', '47', '49', '51', '68', '90', '117', '134', '170', '176', '198', '203', '220', '223', '230', '231', '236', '245', '255', '284', '305', '323', '328', '330', '359']
['9', '26', '99', '116', '133', '156', '157', '207', '264', '286', '288', '290', '294', '302', '303', '306', '315', '334', '339', '340', '347', '350', '364', '377', '384']
['4', '17', '25', '31', '54', '60', '63', '72', '101', '115', '140', '142', '165', '179', '187', '195', '232', '239', '249', '295', '318', '332', '376', '388', '398']
