['126', '51', '71', '184', '241', '499', '264', '339', '256', '90', '317', '289', '418', '313', '485', '198', '490', '302', '410', '214', '174', '281', '357', '64', '160']
['380', '363', '206', '337', '373', '60', '168', '129', '393', '322', '203', '368', '425', '347', '408', '475', '305', '22', '179', '232', '84', '218', '301', '182', '271']
['8', '498', '265', '140', '420', '125', '459', '384', '138', '166', '119', '445', '89', '331', '205', '26', '367', '196', '45', '310', '23', '98', '482', '215', '245']
['230', '73', '453', '65', '403', '233', '416', '293', '14', '38', '228', '67', '436', '468', '350', '108', '464', '371', '128', '253', '439', '340', '10', '489', '50']
['441', '102', '328', '351', '79', '106', '13', '455', '287', '330', '6', '383', '82', '75', '457', '378', '466', '469', '309', '345', '165', '438', '145', '147', '361']
['100', '112', '117', '118', '122', '225', '226', '227', '229', '231', '234', '235', '236', '237', '238', '239', '240', '242', '243', '244', '246', '247', '248', '249', '348']
['29', '36', '46', '48', '150', '151', '152', '153', '154', '155', '156', '157', '158', '159', '161', '162', '163', '164', '167', '169', '170', '171', '172', '173', '299']
['178', '185', '187', '188', '195', '199', '400', '401', '402', '404', '405', '406', '407', '409', '411', '412', '413', '414', '415', '417', '419', '421', '422', '423', '424']
['212', '250', '251', '252', '254', '255', '257', '258', '259', '260', '261', '262', '263', '267', '268', '269', '270', '272', '273', '274', '327', '334', '336', '338', '346']
['0', '1', '2', '3', '4', '5', '7', '9', '11', '12', '15', '16', '17', '18', '19', '20', '21', '24', '78', '80', '83', '91', '97', '99', '477']
['103', '107', '111', '114', '115', '375', '376', '377', '379', '381', '382', '385', '386', '387', '388', '389', '390', '391', '392', '394', '395', '396', '397', '398', '399']
['306', '311', '312', '316', '318', '319', '321', '324', '426', '427', '429', '430', '431', '432', '433', '434', '435', '437', '440', '442', '443', '444', '446', '448', '449']
['25', '27', '28', '30', '31', '32', '33', '34', '35', '37', '39', '40', '41', '42', '43', '44', '47', '49', '81', '356', '358', '458', '465', '472', '483']
['86', '275', '276', '277', '279', '280', '282', '283', '284', '285', '286', '288', '290', '291', '292', '294', '295', '296', '297', '298', '479', '488', '493', '494', '496']
['87', '130', '133', '143', '144', '148', '200', '201', '202', '204', '207', '208', '209', '210', '211', '213', '216', '217', '219', '220', '221', '222', '223', '224', '326']
['53', '54', '55', '56', '57', '58', '59', '61', '63', '66', '68', '70', '72', '74', '176', '177', '180', '181', '183', '189', '190', '191', '192', '193', '194']
['341', '352', '353', '354', '355', '359', '360', '362', '364', '365', '366', '369', '370', '372', '374', '471', '476', '478', '480', '481', '484', '487', '492', '495', '497']
['127', '131', '132', '134', '135', '136', '137', '139', '141', '142', '146', '149', '450', '451', '452', '454', '456', '460', '461', '462', '463', '467', '470', '473', '474']
['76', '77', '88', '92', '95', '96', '101', '104', '105', '113', '116', '120', '121', '123', '124', '300', '304', '307', '308', '323', '332', '335', '343', '349', '491']
['329', '52', '62', '69', '85', '93', '94', '109', '110', '175', '186', '197', '266', '278', '303', '314', '315', '320', '325', '333', '342', '344', '428', '447', '486']
