['536', '212', '154', '207', '166', '294', '361', '336', '163', '190', '365', '260', '266', '476', '511', '183', '534', '354', '180', '600', '520', '264']
['243', '391', '151', '407', '539', '415', '267', '433', '162', '437', '622', '406', '456', '612', '621', '467', '189', '591', '405', '253', '404', '244']
['182', '515', '177', '417', '358', '384', '200', '419', '525', '546', '205', '574', '319', '370', '447', '603', '532', '486', '287', '523', '499', '613']
['158', '161', '181', '197', '204', '213', '235', '239', '313', '339', '364', '386', '368', '383', '410', '477', '512', '569', '587', '597', '605', '611']
['157', '160', '165', '209', '217', '242', '250', '252', '274', '293', '334', '349', '351', '399', '462', '472', '488', '521', '531', '614', '623', '627']
['206', '211', '238', '241', '262', '265', '276', '277', '305', '327', '420', '430', '446', '454', '518', '545', '547', '548', '551', '588', '607', '608']
['148', '150', '152', '172', '234', '255', '270', '374', '396', '397', '412', '428', '463', '466', '482', '484', '537', '565', '568', '575', '581', '604']
['188', '192', '198', '225', '226', '231', '237', '240', '245', '283', '284', '295', '306', '443', '448', '452', '485', '503', '550', '554', '557', '563']
['196', '301', '310', '378', '414', '450', '455', '459', '460', '464', '468', '469', '470', '471', '473', '567', '570', '572', '578', '580', '595', '596']
['175', '224', '254', '271', '281', '290', '291', '292', '315', '352', '353', '403', '514', '516', '500', '509', '541', '542', '549', '571', '615', '624']
['147', '173', '201', '208', '216', '220', '230', '232', '236', '257', '320', '385', '366', '369', '372', '376', '377', '381', '392', '495', '498', '529']
['187', '195', '210', '249', '278', '279', '282', '307', '311', '317', '324', '346', '387', '373', '389', '423', '426', '510', '527', '556', '559', '620']
['149', '233', '296', '303', '314', '325', '342', '344', '350', '393', '409', '411', '427', '431', '439', '493', '543', '553', '555', '561', '583', '609']
['164', '193', '268', '280', '297', '318', '322', '333', '347', '356', '375', '390', '398', '401', '434', '440', '441', '444', '481', '552', '601', '629']
['258', '261', '323', '326', '328', '337', '348', '408', '416', '425', '435', '465', '474', '475', '479', '492', '517', '502', '504', '506', '528', '564']
['167', '203', '214', '259', '304', '309', '329', '330', '335', '360', '363', '422', '424', '442', '449', '451', '458', '505', '540', '558', '610', '626']
['170', '171', '184', '223', '251', '269', '275', '302', '359', '379', '457', '478', '480', '508', '524', '566', '573', '576', '577', '589', '594', '602']
['155', '174', '185', '219', '246', '256', '331', '332', '338', '340', '355', '388', '394', '400', '402', '438', '453', '489', '507', '533', '562', '584']
['191', '215', '222', '227', '286', '288', '299', '300', '316', '321', '357', '395', '445', '461', '513', '519', '501', '530', '538', '598', '616', '619']
['153', '169', '202', '221', '229', '263', '312', '343', '362', '371', '413', '418', '429', '483', '487', '490', '494', '522', '535', '544', '590', '593']
['146', '159', '176', '186', '194', '199', '228', '248', '272', '298', '382', '491', '526', '560', '579', '585', '586', '592', '606', '617', '625', '628']
['618', '367', '285', '497', '179', '345', '178', '436', '156', '168', '218', '247', '273', '289', '308', '341', '380', '421', '432', '496', '582', '599']
