['256', '118', '268', '160', '194', '13', '181', '248', '233', '218']
['61', '31', '246', '234', '288', '111', '101', '71', '205', '122']
['210', '212', '146', '79', '44', '238', '45', '88', '266', '224']
['66', '144', '154', '264', '170', '163', '166', '123', '89', '11']
['251', '112', '52', '47', '222', '276', '128', '137', '67', '63']
['211', '254', '285', '292', '33', '38', '116', '30', '46', '300']
['132', '177', '69', '219', '209', '147', '113', '59', '225', '164']
['105', '155', '90', '84', '161', '70', '188', '42', '216', '150']
['16', '199', '49', '265', '5', '73', '187', '274', '299', '75']
['229', '278', '17', '280', '168', '202', '191', '179', '241', '185']
['56', '54', '260', '153', '18', '192', '119', '279', '244', '240']
['37', '172', '34', '81', '189', '14', '103', '92', '259', '249']
['35', '51', '102', '124', '141', '226', '270', '282', '291', '295']
['7', '22', '23', '129', '138', '149', '178', '215', '236', '237']
['8', '15', '134', '173', '174', '176', '190', '193', '213', '242']
['29', '58', '68', '121', '135', '204', '207', '223', '247', '262']
['48', '60', '93', '98', '117', '214', '257', '258', '289', '294']
['2', '9', '72', '94', '139', '197', '206', '217', '267', '286']
['20', '114', '158', '180', '196', '220', '252', '273', '283', '296']
['1', '28', '55', '77', '143', '145', '159', '175', '183', '184']
['27', '62', '74', '127', '136', '151', '157', '186', '200', '290']
['4', '10', '36', '95', '108', '110', '125', '245', '269', '277']
['39', '40', '50', '91', '140', '142', '156', '167', '208', '298']
['26', '53', '297', '293', '287', '281', '275', '272', '271', '263']
['80', '232', '261', '255', '253', '250', '243', '239', '231', '230']
['32', '65', '228', '227', '221', '203', '198', '195', '182', '169']
['201', '165', '162', '152', '133', '131', '130', '126', '120', '115']
['64', '284', '109', '107', '106', '104', '100', '99', '97', '96']
['148', '87', '86', '85', '83', '82', '78', '76', '57', '43']
['24', '171', '235', '3', '6', '12', '19', '21', '25', '41']
