['330', '228', '340']
['352', '109', '315']
['432', '230', '233']
['72', '236', '457']
['171', '375', '363']
['453', '54', '123']
['283', '52', '135']
['100', '360', '497']
['369', '416', '483']
['383', '303', '477']
['243', '470', '473']
['377', '381', '462']
['35', '174', '461']
['39', '493', '440']
['454', '488', '430']
['261', '212', '402']
['327', '1', '393']
['79', '362', '366']
['443', '308', '358']
['64', '25', '356']
['411', '87', '353']
['485', '93', '346']
['387', '99', '342']
['10', '438', '312']
['200', '455', '309']
['425', '214', '296']
['13', '191', '293']
['132', '15', '289']
['211', '192', '287']
['277', '196', '280']
['202', '36', '272']
['60', '409', '259']
['182', '266', '252']
['466', '127', '245']
['43', '42', '244']
['333', '300', '229']
['66', '184', '219']
['90', '14', '217']
['216', '338', '208']
['23', '76', '204']
['113', '18', '203']
['151', '103', '197']
['97', '491', '190']
['8', '38', '186']
['380', '282', '180']
['121', '152', '179']
['172', '492', '166']
['146', '215', '157']
['301', '96', '148']
['385', '382', '137']
['422', '263', '130']
['295', '450', '104']
['188', '408', '81']
['238', '469', '75']
['118', '379', '74']
['231', '262', '69']
['223', '168', '68']
['390', '345', '61']
['433', '160', '57']
['406', '418', '53']
['249', '316', '46']
['56', '163', '2']
['268', '49', '495']
['193', '275', '475']
['487', '161', '400']
['271', '339', '269']
['254', '464', '419']
['101', '423', '374']
['144', '325', '324']
['248', '201', '218']
['119', '436', '361']
['424', '463', '194']
['468', '441', '373']
['187', '291', '304']
['318', '178', '173']
['227', '471', '165']
['24', '401', '413']
['226', '306', '155']
['344', '9', '285']
['207', '221', '150']
['154', '357', '481']
['389', '185', '116']
['323', '392', '114']
['225', '94', '337']
['95', '313', '388']
['108', '232', '107']
['354', '446', '496']
['456', '448', '420']
['278', '274', '153']
['183', '329', '89']
['472', '169', '85']
['404', '170', '224']
['260', '499', '71']
['240', '167', '65']
['189', '317', '299']
['447', '270', '51']
['77', '7', '297']
['452', '403', '37']
['111', '62', '73']
['426', '376', '428']
['368', '59', '33']
['474', '199', '415']
['128', '482', '30']
['63', '176', '28']
['264', '83', '27']
['332', '32', '26']
['70', '265', '21']
['407', '234', '31']
['106', '341']
['348', '242', '378']
['45', '412', '124']
['391', '102', '220']
['480', '117', '159']
['19', '145', '321']
['47', '164', '125']
['58', '213', '314']
['399', '210', '222']
['5', '162', '298']
['6', '442', '48']
['84', '255', '476']
['141', '484', '367']
['281', '290', '310']
['241', '394', '250']
['78', '439', '490']
['3', '397']
['12', '429']
['435', '405', '421']
['20', '34', '320']
['177', '319', '434']
['22', '396', '498']
['29', '140', '460']
['41', '206']
['55', '417', '156']
['91', '105', '311']
['98', '478', '465']
['122', '147', '286']
['134', '351', '198']
['205', '372', '258']
['365', '279', '347']
['40', '284', '451']
['294']
['50', '458', '467']
['334', '195', '276']
['307', '343', '494']
['133', '292', '120']
['4', '88', '112']
['17']
['11']
['44', '273', '67']
['80', '175', '449']
['110', '305', '335']
['445', '395', '302']
['235', '149', '331']
['328', '431', '444']
['239']
['398']
['326']
['336']
['371']
['237']
['486']
['414']
['142']
['350']
['181']
['138']
['115']
['136']
['256']
['386']
['257']
['364']
['139']
['86']
['427']
['479']
['16']
['251']
['288']
['355']
['384']
['489']
['126']
['209']
['359']
['158']
['370']
['82']
['92']
['349']
['437']
['322']
['247']
['129']
['410']
['267']
['459']
['246']
['143']
['0', '131', '253']
