['40', '64', '128', '160', '221', '89', '132', '31', '75', '147']
['240', '5', '87', '143', '140', '8', '120', '93', '74', '184']
['67', '13', '171', '107', '238', '209', '219', '172', '211', '35']
['44', '207', '41', '54', '55', '96', '146', '29', '231', '76']
['98', '30', '175', '165', '72', '145', '20', '201', '3', '217']
['215', '214', '190', '85', '245', '86', '121', '114', '61', '133']
['130', '39', '248', '83', '73', '163', '101', '14', '81', '127']
['177', '21', '157', '195', '77', '63', '123', '110', '200', '62']
['25', '48', '218', '38', '144', '69', '2', '104', '53', '6']
['225', '236', '212', '186', '180', '36', '112', '220', '122', '0']
['109', '51', '33', '129', '192', '125', '222', '70', '66', '174']
['170', '241', '168', '27', '151', '246', '156', '90', '247', '117']
['68', '149', '202', '230', '166', '208', '205', '181', '58', '97']
['37', '235', '210', '227', '158', '131', '232', '161', '124', '233']
['28', '78', '103', '148', '153', '173', '178', '198', '203', '228']
['19', '26', '94', '119', '169', '176', '194', '197', '226', '244']
['17', '24', '42', '49', '92', '99', '199', '224', '242', '249']
['4', '7', '18', '79', '100', '154', '179', '204', '229', '239']
['9', '16', '34', '71', '84', '134', '159', '216', '234', '237']
['11', '22', '43', '82', '102', '113', '118', '138', '188', '213']
['12', '23', '47', '105', '115', '135', '155', '162', '183', '187']
['1', '56', '106', '116', '141', '142', '152', '164', '191', '206']
['50', '57', '59', '95', '136', '137', '150', '189', '193', '243']
['10', '46', '52', '65', '108', '111', '126', '182', '185', '223']
['60', '91', '15', '32', '45', '80', '88', '139', '167', '196']
