['209', '53', '29', '335', '36', '375', '146', '312', '377', '131']
['353', '234', '3', '5', '317', '257', '28', '106', '268', '358']
['421', '272', '26', '226', '333', '310', '466', '69', '376', '145']
['231', '79', '168', '450', '411', '406', '469', '201', '93', '457']
['237', '258', '315', '110', '403', '345', '484', '267', '37', '271']
['460', '470', '107', '255', '153', '328', '394', '52', '141', '210']
['321', '300', '9', '166', '165', '415', '439', '214', '432', '187']
['354', '491', '205', '158', '148', '362', '94', '215', '109', '120']
['24', '486', '314', '442', '156', '217', '264', '34', '274', '275']
['213', '90', '291', '420', '241', '325', '56', '229', '18', '244']
['331', '22', '87', '144', '365', '273', '319', '182', '493', '463']
['386', '286', '122', '398', '20', '401', '140', '235', '4', '92']
['41', '444', '293', '499', '351', '336', '157', '388', '279', '393']
['452', '125', '280', '412', '207', '341', '179', '453', '458', '70']
['363', '338', '240', '435', '381', '167', '49', '16', '137', '485']
['132', '208', '86', '136', '348', '448', '359', '150', '434', '159']
['81', '42', '459', '468', '172', '352', '190', '278', '476', '154']
['27', '62', '283', '111', '294', '68', '133', '58', '494', '96']
['183', '139', '83', '389', '409', '197', '245', '492', '233', '232']
['134', '1', '103', '116', '85', '438', '82', '143', '355', '424']
['46', '433', '498', '467', '6', '175', '369', '31', '337', '397']
['308', '288', '40', '364', '356', '188', '479', '447', '191', '402']
['14', '97', '142', '261', '443', '489', '161', '64', '19', '108']
['400', '419', '222', '391', '349', '84', '124', '10', '320', '284']
['287', '428', '282', '236', '11', '478', '322', '200', '112', '101']
['63', '303', '357', '340', '339', '480', '193', '155', '100', '265']
['436', '43', '57', '368', '497', '270', '105', '346', '496', '418']
['449', '185', '171', '367', '251', '454', '91', '218', '246', '51']
['74', '243', '38', '88', '50', '55', '60', '260', '326', '212']
['342', '135', '126', '441', '488', '259', '374', '45', '445', '396']
['410', '431', '392', '378', '254', '416', '216', '17', '184', '99']
['73', '481', '330', '318', '471', '173', '211', '39', '30', '54']
['425', '451', '169', '98', '44', '332', '405', '373', '230', '12']
['384', '423', '475', '7', '387', '413', '228', '440', '195', '238']
['429', '422', '8', '316', '295', '477', '390', '89', '299', '249']
['313', '427', '138', '495', '483', '227', '115', '296', '23', '206']
['350', '117', '59', '65', '198', '2', '61', '71', '221', '490']
['130', '181', '119', '404', '196', '323', '302', '192', '305', '290']
['239', '343', '487', '301', '344', '256', '366', '177', '160', '385']
['163', '151', '482', '66', '25', '219', '95', '223', '224', '77']
['178', '370', '306', '372', '13', '263', '102', '113', '417', '33']
['430', '360', '174', '194', '382', '104', '128', '252', '379', '297']
['32', '21', '186', '121', '289', '383', '472', '250', '114', '203']
['407', '129', '123', '0', '361', '48', '455', '180', '170', '202']
['242', '380', '309', '248', '262', '276', '474', '247', '311', '347']
['465', '204', '324', '285', '199', '371', '162', '395', '47', '399']
['176', '147', '461', '127', '80', '462', '464', '149', '35', '281']
['152', '67', '253', '277', '76', '225', '189', '426', '15', '437']
['78', '329', '266', '220', '327', '414', '307', '269', '334', '72']
['473', '292', '446', '456', '298', '118', '408', '304', '164', '75']
