['4', '246', '31', '116', '108']
['330', '153', '198', '177', '50']
['238', '335', '245', '107', '322']
['313', '206', '80', '94', '37']
['184', '281', '34', '19', '201']
['32', '81', '323', '308', '272']
['12', '263', '203', '35', '90']
['479', '99', '486', '109', '64']
['422', '280', '299', '495', '298']
['408', '457', '221', '418', '189']
['88', '327', '398', '294', '98']
['435', '371', '340', '484', '68']
['286', '349', '219', '152', '61']
['72', '223', '496', '239', '465']
['366', '138', '362', '1', '350']
['190', '71', '232', '455', '395']
['332', '193', '287', '401', '106']
['11', '96', '469', '151', '454']
['268', '302', '158', '404', '345']
['134', '225', '303', '180', '110']
['162', '244', '329', '392', '214']
['390', '309', '5', '355', '289']
['66', '41', '17', '36', '83']
['194', '30', '447', '477', '277']
['44', '185', '467', '269', '337']
['242', '137', '354', '141', '348']
['466', '290', '267', '43', '0']
['40', '207', '478', '122', '22']
['388', '255', '306', '125', '192']
['402', '215', '57', '56', '143']
['39', '314', '118', '58', '97']
['160', '358', '450', '318', '458']
['494', '266', '60', '468', '453']
['53', '28', '291', '132', '7']
['191', '372', '491', '188', '124']
['342', '427', '367', '2', '463']
['493', '16', '381', '443', '426']
['360', '300', '282', '497', '54']
['423', '218', '312', '487', '165']
['373', '461', '240', '212', '473']
['3', '130', '237', '150', '186']
['278', '409', '431', '385', '227']
['100', '217', '338', '195', '444']
['283', '178', '148', '170', '73']
['292', '204', '127', '210', '430']
['24', '361', '405', '325', '400']
['38', '114', '21', '407', '356']
['135', '144', '376', '352', '421']
['18', '234', '55', '91', '321']
['442', '26', '415', '343', '445']
['47', '175', '393', '363', '297']
['69', '45', '82', '213', '140']
['115', '235', '492', '89', '482']
['209', '167', '326', '155', '174']
['202', '364', '229', '452', '456']
['257', '65', '261', '305', '440']
['104', '139', '334', '386', '411']
['67', '368', '382', '412', '438']
['13', '172', '220', '359', '481']
['159', '387', '399', '413', '448']
['93', '288', '451', '488', '499']
['317', '351', '425', '441', '449']
['63', '87', '92', '285', '459']
['25', '230', '369', '383', '474']
['95', '136', '236', '284', '370']
['168', '249', '428', '436', '475']
['117', '131', '157', '163', '485']
['147', '166', '187', '224', '480']
['33', '133', '254', '276', '357']
['20', '27', '293', '315', '336']
['112', '251', '394', '424', '483']
['169', '253', '429', '460', '464']
['181', '416', '470', '472', '476']
['10', '75', '85', '121', '379']
['14', '42', '51', '259', '275']
['241', '471', '446', '437', '434']
['231', '433', '432', '420', '417']
['86', '414', '410', '403', '397']
['154', '396', '391', '389', '384']
['339', '380', '378', '377', '375']
['179', '374', '353', '347', '346']
['128', '344', '341', '333', '331']
['79', '328', '324', '320', '319']
['274', '316', '310', '307', '304']
['279', '301', '296', '295', '273']
['233', '271', '265', '264', '262']
['439', '260', '258', '256', '252']
['406', '250', '248', '247', '243']
['222', '228', '226', '211', '208']
['29', '205', '200', '199', '197']
['419', '196', '183', '182', '176']
['365', '173', '171', '164', '161']
['462', '156', '149', '146', '145']
['216', '142', '129', '126', '120']
['123', '119', '113', '111', '105']
['311', '103', '102', '101', '84']
['489', '78', '77', '76', '74']
['490', '70', '62', '59', '52']
['498', '49', '48', '23', '9']
['270', '15', '46', '6', '8']
