['23', '132', '557', '18', '346', '188', '488', '753', '604', '327']
['742', '162', '501', '676', '107', '606', '231', '39', '544', '166']
['49', '14', '719', '136', '607', '633', '637', '373', '674', '130']
['749', '200', '573', '527', '87', '212', '11', '372', '77', '289']
['675', '496', '532', '90', '585', '525', '556', '17', '486', '505']
['239', '148', '702', '726', '110', '673', '698', '94', '578', '216']
['428', '364', '682', '520', '171', '395', '338', '30', '263', '708']
['475', '730', '152', '52', '420', '591', '660', '208', '666', '67']
['230', '332', '360', '48', '27', '53', '378', '387', '706', '512']
['238', '38', '427', '349', '796', '186', '533', '763', '500', '410']
['574', '783', '645', '643', '770', '36', '756', '485', '259', '254']
['419', '575', '120', '610', '691', '670', '100', '365', '69', '709']
['771', '551', '552', '616', '185', '174', '86', '321', '63', '184']
['577', '493', '668', '543', '700', '182', '567', '540', '775', '137']
['588', '461', '524', '251', '363', '517', '624', '106', '70', '490']
['482', '125', '589', '403', '371', '199', '8', '780', '442', '635']
['600', '168', '124', '754', '565', '619', '201', '144', '460', '293']
['377', '636', '778', '634', '66', '340', '89', '537', '570', '662']
['659', '98', '333', '626', '232', '223', '35', '350', '359', '214']
['423', '388', '42', '599', '56', '425', '347', '508', '292', '142']
['324', '444', '330', '164', '265', '143', '10', '95', '319', '797']
['601', '13', '291', '325', '446', '548', '462', '343', '25', '156']
['424', '307', '141', '506', '422', '286', '672', '22', '576', '398']
['695', '536', '484', '7', '246', '690', '436', '31', '24', '15']
['101', '243', '237', '287', '193', '111', '623', '280', '235', '648']
['743', '16', '467', '747', '667', '277', '96', '78', '361', '664']
['434', '521', '157', '328', '317', '686', '262', '530', '225', '433']
['250', '717', '153', '614', '309', '147', '65', '511', '443', '118']
['696', '369', '145', '655', '415', '240', '615', '737', '729', '558']
['284', '115', '779', '12', '80', '203', '46', '761', '429', '218']
['311', '303', '51', '480', '776', '435', '531', '738', '583', '205']
['617', '592', '554', '510', '481', '99', '611', '522', '268', '402']
['620', '97', '587', '432', '728', '189', '384', '581', '703', '322']
['379', '465', '404', '791', '34', '568', '528', '441', '127', '649']
['516', '122', '720', '296', '170', '476', '782', '563', '82', '380']
['159', '792', '72', '519', '194', '154', '450', '777', '712', '711']
['694', '411', '179', '61', '757', '495', '553', '652', '219', '190']
['139', '151', '175', '306', '236', '562', '74', '290', '514', '677']
['663', '215', '295', '418', '787', '358', '249', '76', '73', '452']
['650', '192', '313', '440', '19', '681', '392', '401', '59', '545']
['509', '439', '196', '28', '613', '102', '209', '765', '135', '4']
['248', '692', '400', '204', '768', '177', '255', '755', '550', '641']
['718', '269', '173', '222', '93', '529', '502', '725', '683', '105']
['245', '283', '226', '342', '339', '183', '630', '470', '414', '163']
['736', '651', '582', '112', '534', '453', '772', '463', '278', '760']
['697', '131', '679', '301', '6', '594', '114', '748', '477', '167']
['661', '57', '276', '416', '275', '267', '503', '781', '701', '654']
['326', '646', '431', '273', '492', '746', '348', '535', '644', '104']
['271', '586', '374', '308', '451', '133', '598', '91', '247', '337']
['352', '126', '211', '721', '764', '3', '489', '33', '381', '393']
['353', '628', '103', '165', '478', '456', '138', '92', '197', '430']
['454', '55', '794', '172', '282', '357', '571', '140', '715', '396']
['741', '795', '375', '469', '32', '566', '149', '788', '83', '258']
['766', '750', '409', '625', '466', '261', '370', '739', '315', '20']
['665', '394', '345', '176', '5', '491', '549', '526', '457', '40']
['499', '234', '569', '302', '596', '198', '629', '689', '119', '597']
['572', '41', '281', '438', '54', '123', '367', '21', '417', '121']
['314', '472', '640', '71', '705', '479', '242', '272', '43', '47']
['789', '658', '158', '109', '684', '437', '740', '155', '653', '244']
['298', '44', '150', '714', '385', '464', '408', '397', '270', '160']
['602', '678', '9', '75', '85', '716', '323', '426', '608', '335']
['37', '793', '798', '759', '638', '745', '584', '468', '448', '722']
['669', '773', '81', '560', '769', '228', '318', '329', '390', '45']
['169', '305', '471', '362', '134', '62', '336', '541', '79', '207']
['383', '758', '187', '752', '376', '260', '546', '704', '310', '612']
['316', '699', '356', '217', '341', '146', '539', '609', '494', '334']
['632', '351', '723', '304', '687', '117', '113', '693', '707', '593']
['751', '213', '116', '407', '680', '29', '220', '266', '799', '688']
['312', '790', '713', '657', '542', '161', '0', '224', '458', '685']
['631', '2', '181', '386', '84', '252', '355', '731', '389', '128']
['253', '710', '579', '555', '727', '538', '564', '622', '88', '733']
['344', '382', '58', '288', '621', '195', '331', '762', '734', '497']
['559', '221', '498', '180', '774', '354', '297', '744', '595', '405']
['590', '406', '421', '627', '320', '191', '264', '229', '732', '561']
['294', '515', '642', '507', '413', '366', '299', '785', '474', '178']
['399', '129', '483', '767', '1', '108', '68', '412', '449', '504']
['279', '784', '671', '639', '368', '656', '580', '605', '50', '523']
['724', '257', '233', '241', '285', '518', '459', '202', '786', '391']
['210', '227', '647', '547', '735', '618', '26', '256', '274', '206']
['603', '455', '60', '487', '447', '64', '300', '513', '473', '445']
