['660', '528', '315', '435', '69', '71', '184', '875', '94', '110', '97', '951', '863', '270', '924', '336', '902', '837', '686', '747', '846', '673', '720', '416', '143', '763', '707', '847', '162', '463', '565', '870', '254', '740', '633', '192', '466', '711', '566', '932', '279', '892', '531', '230', '651', '295', '541', '964', '208', '204']
['948', '131', '80', '417', '642', '441', '85', '145', '29', '670', '428', '274', '314', '46', '297', '947', '372', '141', '559', '1', '220', '638', '625', '118', '347', '163', '982', '856', '926', '226', '242', '60', '647', '114', '671', '420', '716', '434', '986', '657', '741', '503', '688', '555', '731', '915', '458', '622', '35', '18']
['817', '505', '450', '992', '959', '829', '521', '533', '783', '864', '50', '367', '329', '798', '838', '358', '481', '706', '520', '906', '228', '787', '328', '181', '468', '149', '650', '854', '381', '186', '687', '950', '973', '553', '600', '831', '636', '316', '248', '914', '210', '209', '607', '201', '76', '942', '616', '936', '896', '325']
['66', '22', '16', '649', '552', '123', '867', '619', '656', '767', '877', '374', '897', '641', '240', '898', '116', '451', '592', '125', '728', '31', '862', '39', '634', '168', '920', '943', '692', '339', '413', '620', '991', '479', '126', '380', '301', '377', '822', '781', '512', '791', '949', '157', '574', '595', '290', '440', '107', '317']
['653', '547', '934', '996', '257', '818', '78', '990', '840', '64', '881', '473', '178', '390', '324', '214', '805', '891', '788', '129', '206', '359', '402', '6', '135', '25', '977', '885', '524', '585', '349', '17', '454', '296', '47', '443', '249', '717', '679', '474', '246', '691', '217', '138', '350', '755', '74', '112', '0', '44']
['532', '504', '424', '430', '663', '284', '326', '62', '989', '241', '493', '499', '98', '878', '823', '403', '537', '766', '122', '558', '968', '362', '121', '713', '194', '299', '826', '928', '312', '32', '666', '939', '700', '144', '282', '893', '888', '723', '36', '28', '294', '695', '617', '346', '342', '682', '45', '307', '883', '171']
['278', '887', '827', '467', '275', '288', '726', '557', '993', '480', '376', '756', '264', '280', '729', '79', '569', '236', '471', '24', '903', '401', '772', '664', '967', '703', '995', '115', '922', '497', '821', '905', '73', '597', '899', '93', '216', '961', '963', '287', '255', '643', '615', '492', '550', '160', '340', '371', '148', '694']
['974', '645', '13', '545', '244', '739', '510', '174', '820', '710', '11', '684', '101', '337', '508', '748', '761', '483', '796', '830', '662', '436', '768', '507', '37', '460', '733', '283', '167', '396', '229', '388', '495', '611', '139', '456', '882', '953', '330', '575', '461', '871', '790', '136', '303', '833', '489', '151', '704', '285']
['610', '387', '771', '904', '406', '82', '147', '106', '576', '635', '978', '918', '223', '774', '205', '182', '676', '247', '193', '534', '921', '683', '542', '782', '750', '737', '200', '470', '702', '207', '567', '744', '738', '819', '427', '418', '789', '84', '154', '152', '356', '447', '709', '300', '851', '243', '498', '485', '997', '646']
['785', '191', '562', '799', '868', '260', '361', '602', '196', '502', '540', '853', '188', '262', '525', '452', '802', '848', '775', '855', '632', '486', '935', '421', '484', '105', '478', '68', '233', '509', '398', '175', '320', '265', '752', '183', '338', '313', '925', '127', '604', '551', '582', '407', '583', '72', '944', '323', '812', '975']
['980', '927', '202', '797', '392', '839', '697', '965', '281', '385', '455', '133', '807', '189', '908', '172', '267', '623', '426', '490', '955', '538', '661', '382', '75', '760', '180', '560', '432', '627', '580', '708', '724', '235', '457', '734', '923', '836', '345', '405', '104', '57', '310', '395', '475', '370', '672', '832', '527', '813']
['722', '179', '496', '727', '404', '33', '845', '423', '910', '375', '56', '778', '87', '232', '383', '957', '462', '630', '137', '577', '332', '554', '298', '459', '472', '353', '48', '578', '972', '177', '850', '675', '909', '743', '938', '556', '811', '795', '302', '764', '238', '239', '477', '721', '971', '487', '970', '857', '305', '386']
['605', '128', '911', '130', '49', '808', '804', '515', '665', '379', '930', '352', '394', '221', '816', '589', '879', '685', '5', '677', '142', '591', '408', '696', '809', '90', '321', '753', '568', '259', '409', '439', '860', '603', '258', '803', '224', '269', '197', '89', '843', '399', '40', '292', '841', '824', '794', '146', '199', '913']
['678', '985', '117', '712', '331', '368', '322', '746', '245', '291', '411', '618', '276', '120', '400', '88', '705', '355', '219', '599', '446', '266', '164', '584', '869', '981', '42', '786', '369', '800', '261', '256', '626', '757', '449', '958', '429', '444', '237', '880', '536', '714', '391', '596', '43', '415', '153', '945', '526', '491']
