['392', '589', '491', '692', '445', '537', '595', '635', '300', '472', '466', '634', '582', '183', '871', '277', '886', '50', '370', '51']
['26', '252', '372', '323', '541', '651', '99', '201', '178', '272', '135', '4', '952', '227', '696', '902', '608', '930', '470', '225']
['378', '741', '361', '495', '386', '114', '840', '723', '208', '793', '301', '19', '340', '898', '975', '458', '29', '518', '800', '936']
['588', '693', '37', '109', '139', '706', '652', '658', '620', '519', '548', '68', '276', '292', '933', '858', '794', '896', '291', '207']
['159', '78', '462', '229', '180', '348', '324', '605', '243', '204', '249', '545', '928', '604', '729', '282', '317', '848', '621', '720']
['113', '214', '682', '463', '336', '419', '903', '654', '23', '103', '540', '838', '575', '388', '141', '168', '927', '514', '95', '228']
['962', '167', '866', '763', '666', '648', '435', '517', '967', '498', '552', '875', '931', '801', '909', '753', '698', '160', '489', '185']
['189', '77', '511', '108', '855', '2', '295', '979', '22', '415', '313', '465', '413', '632', '715', '664', '581', '919', '71', '559']
['633', '175', '191', '725', '839', '611', '187', '999', '653', '957', '426', '408', '382', '260', '286', '566', '677', '656', '343', '358']
['969', '486', '583', '836', '105', '728', '110', '289', '279', '58', '837', '994', '377', '393', '321', '989', '831', '865', '869', '911']
['288', '232', '668', '712', '79', '186', '451', '199', '17', '598', '907', '391', '943', '360', '112', '963', '921', '477', '662', '528']
['246', '281', '148', '762', '190', '799', '739', '25', '916', '221', '122', '158', '338', '476', '880', '406', '156', '27', '983', '533']
['314', '914', '73', '778', '263', '203', '960', '974', '543', '569', '326', '154', '33', '362', '951', '182', '672', '469', '920', '941']
['624', '562', '278', '813', '92', '46', '117', '660', '806', '157', '661', '165', '88', '617', '807', '206', '551', '18', '544', '395']
['52', '404', '200', '306', '302', '702', '224', '123', '870', '864', '940', '688', '507', '502', '499', '812', '132', '892', '83', '32']
['430', '354', '726', '770', '253', '874', '797', '946', '403', '309', '560', '12', '787', '642', '992', '513', '929', '700', '609', '809']
['510', '86', '247', '704', '346', '759', '990', '568', '24', '150', '522', '756', '641', '897', '832', '90', '888', '816', '593', '439']
['534', '205', '120', '835', '0', '55', '384', '163', '248', '853', '31', '815', '287', '697', '567', '796', '20', '845', '690', '137']
['526', '285', '814', '665', '857', '402', '795', '932', '353', '820', '421', '101', '493', '683', '437', '456', '996', '257', '716', '308']
['849', '686', '520', '938', '211', '876', '74', '259', '937', '195', '428', '173', '237', '955', '412', '619', '270', '1', '900', '75']
['713', '646', '570', '231', '622', '676', '998', '717', '563', '538', '155', '197', '254', '782', '733', '616', '625', '709', '887', '819']
['315', '483', '240', '811', '49', '910', '708', '444', '789', '542', '385', '596', '9', '808', '719', '893', '844', '146', '637', '11']
['40', '273', '405', '504', '423', '202', '359', '251', '912', '564', '638', '375', '644', '767', '554', '922', '70', '140', '850', '649']
['765', '577', '901', '842', '454', '10', '215', '149', '539', '742', '174', '727', '978', '606', '834', '798', '881', '274', '721', '754']
['479', '627', '821', '639', '942', '331', '409', '162', '944', '851', '737', '529', '222', '775', '85', '689', '884', '318', '574', '783']
['43', '67', '460', '81', '557', '305', '414', '614', '587', '390', '48', '947', '757', '945', '527', '401', '80', '394', '707', '107']
['144', '899', '64', '859', '705', '939', '508', '597', '56', '576', '474', '512', '628', '13', '126', '615', '515', '657', '826', '380']
['958', '509', '751', '459', '650', '610', '443', '777', '241', '685', '607', '691', '626', '290', '216', '399', '760', '133', '184', '427']
['547', '350', '164', '213', '746', '867', '188', '631', '21', '347', '780', '425', '115', '38', '755', '44', '822', '601', '319', '147']
