['728', '381', '293', '11', '681', '475', '618', '100', '632', '172']
['595', '550', '588', '707', '651', '539', '516', '180', '761', '227']
['418', '640', '125', '607', '302', '97', '326', '485', '152', '392']
['316', '383', '427', '647', '131', '370', '280', '252', '578', '656']
['197', '184', '463', '541', '314', '403', '246', '743', '17', '677']
['748', '584', '119', '481', '351', '369', '416', '67', '6', '586']
['313', '51', '340', '646', '338', '175', '156', '61', '27', '2']
['690', '162', '90', '596', '21', '554', '159', '163', '273', '606']
['382', '688', '122', '526', '275', '790', '662', '660', '794', '689']
['400', '542', '772', '507', '198', '89', '468', '96', '102', '589']
['120', '225', '533', '7', '460', '465', '641', '435', '579', '425']
['603', '484', '708', '487', '522', '566', '298', '638', '536', '191']
['666', '785', '368', '470', '682', '126', '744', '515', '33', '222']
['719', '573', '145', '657', '749', '674', '70', '414', '390', '702']
['410', '685', '395', '758', '157', '769', '342', '208', '384', '218']
['654', '684', '28', '16', '202', '0', '698', '279', '549', '137']
['443', '551', '81', '269', '196', '231', '52', '189', '517', '265']
['705', '770', '622', '45', '36', '304', '604', '629', '598', '616']
['40', '226', '695', '505', '731', '462', '76', '402', '776', '249']
['352', '585', '608', '434', '94', '115', '328', '664', '531', '754']
['251', '546', '82', '8', '372', '742', '204', '556', '228', '32']
['331', '88', '663', '753', '240', '148', '365', '648', '241', '458']
['432', '727', '150', '104', '62', '299', '221', '177', '134', '511']
['405', '188', '675', '669', '658', '276', '307', '725', '233', '289']
['500', '491', '581', '72', '301', '512', '575', '356', '387', '260']
['386', '679', '259', '558', '683', '767', '116', '540', '15', '417']
['83', '668', '746', '534', '234', '363', '623', '262', '642', '174']
['671', '113', '105', '543', '710', '419', '322', '281', '480', '44']
['401', '454', '130', '617', '506', '220', '101', '453', '34', '31']
['548', '169', '614', '691', '547', '645', '13', '433', '624', '673']
['492', '764', '560', '799', '237', '411', '371', '732', '111', '495']
['194', '242', '634', '106', '24', '343', '295', '303', '236', '38']
['521', '766', '399', '459', '257', '103', '779', '793', '407', '661']
['482', '564', '490', '46', '553', '739', '552', '457', '428', '676']
['271', '396', '49', '213', '305', '48', '129', '250', '5', '85']
['593', '557', '380', '509', '755', '282', '737', '412', '471', '18']
['254', '447', '135', '724', '389', '20', '741', '243', '569', '697']
['665', '110', '609', '730', '332', '451', '324', '168', '312', '79']
['723', '625', '456', '601', '182', '421', '735', '334', '339', '545']
['439', '377', '544', '267', '599', '360', '393', '192', '347', '71']
['207', '3', '446', '164', '4', '594', '726', '699', '600', '178']
['367', '19', '286', '527', '39', '467', '385', '535', '636', '149']
['173', '321', '504', '431', '99', '659', '206', '510', '364', '248']
['630', '628', '330', '520', '635', '461', '170', '366', '781', '379']
['1', '555', '436', '107', '474', '577', '501', '357', '613', '497']
['323', '693', '128', '729', '650', '678', '283', '327', '441', '68']
['568', '745', '610', '258', '144', '124', '572', '158', '694', '354']
['397', '649', '199', '493', '751', '430', '619', '771', '712', '255']
['183', '300', '789', '42', '680', '486', '53', '774', '498', '763']
['176', '187', '93', '559', '361', '98', '268', '477', '37', '161']
['483', '672', '733', '639', '35', '503', '537', '74', '796', '256']
['217', '448', '209', '73', '238', '513', '345', '752', '57', '696']
['773', '341', '147', '415', '611', '333', '408', '139', '565', '63']
['23', '394', '200', '580', '591', '783', '297', '201', '409', '87']
['602', '56', '112', '30', '499', '452', '398', '701', '146', '308']
['232', '353', '26', '627', '518', '574', '426', '315', '620', '274']
['349', '64', '114', '538', '759', '784', '374', '571', '143', '438']
['153', '362', '532', '576', '205', '244', '391', '440', '264', '605']
['60', '253', '713', '59', '496', '235', '444', '479', '359', '667']
['141', '54', '329', '278', '740', '155', '466', '261', '294', '378']
['375', '445', '121', '140', '736', '563', '319', '653', '12', '215']
['423', '171', '58', '350', '750', '450', '277', '151', '478', '179']
['77', '597', '757', '306', '132', '768', '318', '747', '320', '186']
['704', '86', '670', '219', '775', '615', '288', '449', '272', '562']
['118', '787', '167', '336', '791', '224', '587', '284', '473', '266']
['621', '245', '69', '455', '95', '311', '715', '687', '582', '193']
['792', '65', '494', '247', '633', '22', '195', '203', '528', '469']
['216', '692', '190', '109', '561', '717', '309', '117', '592', '413']
['524', '612', '337', '212', '464', '643', '567', '41', '709', '270']
['760', '706', '637', '722', '50', '154', '84', '230', '285', '287']
['160', '734', '442', '346', '358', '142', '777', '91', '590', '718']
['388', '721', '290', '786', '406', '185', '263', '631', '166', '75']
['355', '716', '765', '570', '780', '488', '47', '711', '10', '626']
['686', '223', '25', '762', '429', '583', '335', '720', '655', '310']
['317', '344', '348', '424', '9', '782', '108', '296', '325', '376']
['29', '373', '214', '136', '292', '66', '123', '788', '92', '55']
['644', '437', '211', '652', '529', '798', '476', '795', '210', '700']
['133', '714', '291', '78', '420', '404', '523', '778', '80', '165']
['738', '127', '514', '525', '422', '502', '472', '508', '519', '489']
['181', '703', '229', '14', '138', '239', '797', '530', '756', '43']
