['24', '728', '150', '432', '433', '400', '824', '736', '38', '264', '768', '419', '512', '397', '682', '238', '621', '153', '398', '443']
['837', '368', '224', '507', '141', '143', '672', '758', '181', '942', '265', '414', '615', '78', '528', '647', '124', '966', '447', '139']
['992', '575', '532', '230', '495', '687', '607', '294', '688', '451', '862', '620', '868', '300', '407', '334', '715', '654', '291', '963']
['661', '158', '262', '132', '182', '741', '46', '901', '603', '843', '588', '980', '114', '98', '945', '185', '590', '304', '410', '754']
['695', '380', '79', '536', '100', '52', '526', '616', '772', '774', '864', '905', '987', '169', '913', '95', '70', '355', '973', '460']
['346', '279', '900', '487', '805', '33', '597', '786', '482', '540', '343', '601', '493', '26', '205', '138', '796', '4', '356', '841']
['469', '552', '215', '640', '513', '670', '34', '800', '408', '757', '876', '807', '811', '390', '452', '869', '222', '260', '5', '9']
['345', '271', '740', '463', '917', '113', '820', '229', '204', '749', '287', '49', '924', '929', '975', '988', '248', '636', '731', '936']
['163', '246', '159', '561', '480', '14', '350', '21', '102', '323', '873', '206', '19', '823', '290', '801', '894', '307', '787', '366']
['880', '680', '545', '956', '437', '760', '792', '803', '990', '371', '321', '921', '716', '417', '392', '165', '106', '700', '445', '650']
['676', '930', '152', '600', '834', '68', '239', '478', '53', '710', '865', '984', '83', '813', '434', '125', '560', '854', '457', '949']
['822', '639', '221', '739', '503', '562', '581', '86', '405', '162', '617', '195', '373', '56', '648', '497', '829', '888', '220', '759']
['810', '208', '994', '16', '55', '409', '111', '289', '533', '484', '261', '424', '831', '93', '57', '566', '944', '112', '200', '707']
['702', '701', '935', '311', '247', '403', '339', '378', '74', '428', '413', '791', '583', '882', '722', '43', '795', '848', '12', '135']
['166', '732', '659', '534', '188', '142', '974', '337', '170', '276', '571', '527', '679', '928', '667', '814', '863', '281', '123', '41']
['798', '50', '766', '192', '592', '440', '389', '101', '767', '938', '87', '599', '336', '129', '426', '585', '961', '365', '282', '396']
['471', '122', '979', '427', '809', '31', '784', '391', '794', '375', '690', '140', '269', '89', '826', '359', '481', '833', '295', '172']
['925', '274', '584', '470', '331', '663', '313', '406', '649', '614', '790', '543', '577', '438', '18', '915', '623', '35', '22', '892']
['212', '387', '609', '505', '319', '191', '37', '227', '855', '251', '483', '737', '459', '335', '213', '491', '293', '556', '596', '382']
['626', '161', '523', '99', '703', '879', '370', '708', '297', '668', '632', '628', '729', '130', '686', '705', '245', '885', '985', '895']
['11', '748', '347', '782', '384', '721', '535', '219', '608', '839', '456', '173', '404', '529', '911', '706', '423', '105', '582', '572']
['952', '48', '777', '17', '3', '214', '907', '537', '226', '951', '168', '360', '568', '886', '849', '587', '250', '20', '176', '698']
['723', '312', '655', '515', '6', '202', '812', '518', '136', '462', '793', '683', '871', '179', '63', '598', '263', '908', '859', '646']
['280', '310', '39', '903', '957', '709', '506', '662', '773', '314', '117', '842', '198', '567', '906', '804', '752', '418', '157', '788']
['576', '559', '877', '30', '684', '148', '45', '341', '968', '548', '270', '259', '10', '542', '789', '861', '923', '340', '692', '357']
['395', '108', '785', '501', '693', '657', '306', '449', '450', '914', '194', '84', '717', '738', '641', '455', '816', '651', '827', '190']
['76', '638', '494', '412', '29', '151', '970', '937', '872', '435', '430', '352', '519', '696', '524', '999', '338', '644', '381', '344']
['678', '203', '546', '920', '691', '255', '817', '155', '612', '645', '60', '59', '85', '209', '896', '454', '479', '555', '90', '15']
['358', '361', '288', '933', '887', '517', '92', '781', '779', '286', '147', '240', '967', '473', '983', '819', '441', '589', '948', '28']
['898', '909', '8', '550', '464', '852', '733', '666', '726', '669', '579', '82', '711', '858', '277', '897', '318', '96', '118', '853']
['278', '799', '69', '746', '934', '472', '558', '258', '489', '369', '133', '557', '745', '591', '178', '144', '27', '954', '237', '950']
['241', '922', '242', '299', '177', '439', '211', '627', '476', '67', '904', '316', '828', '448', '932', '955', '815', '563', '223', '425']
['618', '742', '808', '119', '180', '372', '415', '72', '629', '835', '845', '305', '54', '325', '918', '652', '689', '685', '354', '235']
['115', '149', '761', '832', '724', '893', '573', '978', '902', '51', '613', '174', '475', '630', '298', '756', '521', '857', '468', '959']
['233', '252', '714', '743', '594', '485', '420', '699', '216', '47', '296', '32', '73', '137', '488', '44', '538', '332', '197', '697']
['103', '461', '351', '284', '875', '580', '466', '285', '976', '574', '13', '593', '272', '977', '154', '993', '943', '376', '531', '996']
['402', '126', '860', '364', '986', '234', '283', '750', '243', '7', '965', '840', '2', '275', '939', '881', '160', '565', '330', '947']
['525', '755', '303', '292', '492', '327', '88', '167', '931', '232', '377', '504', '374', '622', '850', '578', '249', '225', '23', '675']
