['473', '360', '247', '58', '163', '884', '524', '987', '361', '55']
['887', '252', '718', '481', '791', '955', '702', '153', '358', '110']
['373', '244', '404', '673', '883', '997', '182', '59', '24', '99']
['437', '960', '174', '223', '132', '295', '64', '810', '994', '651']
['578', '357', '919', '515', '350', '715', '869', '21', '412', '804']
['480', '559', '243', '742', '832', '389', '127', '458', '152', '696']
['216', '520', '230', '797', '139', '318', '491', '862', '349', '224']
['25', '969', '364', '511', '740', '455', '773', '398', '988', '914']
['301', '79', '577', '874', '464', '340', '370', '41', '35', '166']
['837', '621', '989', '121', '763', '426', '928', '814', '871', '81']
['560', '129', '608', '555', '287', '745', '137', '659', '248', '266']
['592', '70', '927', '825', '974', '414', '733', '50', '714', '424']
['643', '668', '806', '686', '765', '573', '534', '948', '888', '770']
['569', '376', '178', '646', '405', '721', '817', '37', '294', '845']
['425', '844', '213', '641', '428', '15', '351', '580', '682', '558']
['165', '552', '128', '755', '889', '20', '635', '393', '939', '587']
['539', '468', '779', '541', '876', '613', '795', '346', '589', '818']
['801', '921', '761', '852', '11', '519', '189', '753', '717', '131']
['811', '32', '840', '527', '209', '683', '338', '210', '772', '292']
['781', '114', '162', '847', '789', '319', '120', '168', '564', '371']
['214', '655', '231', '703', '283', '215', '93', '475', '677', '30']
['890', '681', '156', '84', '4', '831', '149', '771', '72', '786']
['251', '164', '56', '737', '267', '314', '554', '323', '136', '186']
['675', '185', '790', '85', '124', '861', '553', '584', '595', '913']
['402', '498', '220', '144', '858', '893', '991', '860', '306', '169']
['824', '922', '374', '645', '688', '188', '218', '992', '211', '383']
['611', '167', '471', '296', '386', '74', '843', '109', '34', '823']
['451', '535', '427', '54', '181', '246', '240', '263', '277', '116']
['930', '976', '274', '857', '299', '601', '680', '634', '784', '48']
['576', '918', '709', '833', '194', '342', '445', '513', '155', '732']
['269', '707', '985', '157', '212', '366', '457', '785', '551', '711']
['752', '467', '5', '792', '68', '443', '201', '195', '983', '665']
['931', '107', '904', '103', '345', '228', '730', '289', '757', '271']
['912', '575', '706', '291', '341', '604', '951', '456', '105', '382']
['290', '514', '812', '395', '648', '203', '106', '90', '419', '238']
['909', '333', '509', '117', '965', '399', '691', '313', '115', '614']
['777', '966', '628', '566', '747', '676', '870', '196', '180', '605']
['851', '848', '616', '197', '293', '911', '452', '472', '275', '581']
['302', '647', '594', '632', '459', '764', '774', '320', '897', '738']
['403', '175', '95', '588', '973', '221', '183', '929', '348', '7']
['381', '674', '354', '12', '830', '894', '490', '87', '489', '563']
['355', '953', '141', '450', '518', '979', '484', '521', '486', '618']
['229', '769', '268', '411', '441', '18', '910', '586', '390', '33']
['101', '710', '391', '529', '311', '549', '245', '606', '984', '255']
['533', '986', '886', '113', '298', '492', '941', '334', '619', '652']
['253', '0', '96', '260', '713', '436', '623', '204', '901', '822']
['995', '667', '903', '173', '217', '254', '972', '126', '146', '639']
['689', '669', '627', '16', '31', '222', '160', '964', '582', '596']
['380', '363', '352', '488', '242', '644', '237', '315', '264', '531']
['525', '430', '500', '756', '746', '347', '417', '331', '907', '802']
['483', '933', '280', '179', '967', '22', '827', '767', '367', '750']
['158', '335', '603', '66', '148', '724', '308', '461', '940', '310']
['617', '663', '952', '487', '502', '446', '865', '846', '494', '568']
['45', '123', '387', '325', '727', '297', '841', '143', '27', '672']
['125', '978', '225', '177', '971', '400', '775', '193', '365', '2']
['712', '397', '133', '65', '734', '337', '749', '653', '46', '834']
['249', '344', '699', '743', '401', '122', '855', '899', '460', '406']
['664', '192', '465', '327', '656', '343', '176', '915', '170', '692']
['421', '758', '536', '208', '666', '783', '482', '130', '856', '934']
['322', '684', '956', '505', '626', '339', '304', '751', '257', '780']
['759', '590', '9', '466', '735', '961', '776', '968', '150', '270']
['328', '184', '866', '282', '600', '678', '959', '353', '159', '829']
['442', '838', '57', '356', '562', '609', '112', '119', '17', '908']
['708', '946', '620', '39', '826', '191', '316', '198', '728', '463']
['44', '570', '981', '206', '378', '501', '233', '662', '731', '409']
['970', '28', '879', '815', '142', '942', '937', '799', '286', '8']
['97', '512', '685', '359', '859', '478', '537', '385', '250', '384']
['540', '415', '108', '722', '336', '993', '135', '284', '29', '556']
['227', '816', '980', '654', '51', '523', '102', '69', '420', '550']
['508', '241', '636', '396', '726', '813', '258', '86', '885', '693']
['950', '49', '936', '788', '88', '597', '259', '853', '43', '805']
['658', '78', '864', '768', '631', '828', '438', '60', '407', '321']
['629', '236', '496', '516', '317', '111', '565', '690', '990', '782']
['324', '476', '800', '3', '808', '949', '762', '187', '794', '309']
['207', '485', '239', '821', '547', '916', '944', '278', '579', '649']
['205', '975', '273', '598', '793', '839', '89', '444', '962', '593']
['13', '977', '754', '963', '506', '528', '434', '760', '585', '422']
['872', '716', '638', '996', '288', '607', '507', '932', '744', '435']
['94', '574', '842', '881', '615', '849', '701', '392', '423', '272']
['748', '418', '394', '548', '503', '75', '538', '100', '40', '572']
['454', '10', '863', '892', '895', '798', '705', '954', '766', '276']
['77', '679', '262', '200', '23', '807', '739', '493', '878', '82']
['694', '958', '561', '256', '138', '526', '151', '880', '63', '279']
['92', '474', '199', '413', '704', '147', '902', '312', '432', '697']
['232', '83', '145', '630', '836', '625', '307', '532', '982', '567']
['140', '920', '736', '172', '495', '76', '91', '945', '448', '504']
['854', '265', '161', '873', '624', '410', '819', '285', '591', '546']
['47', '303', '729', '906', '431', '154', '379', '637', '923', '416']
['542', '202', '891', '925', '479', '924', '660', '622', '868', '499']
['171', '190', '38', '700', '698', '900', '449', '544', '62', '687']
