['647', '920', '13', '760', '724', '176', '413', '184', '121', '82']
['917', '766', '777', '869', '7', '310', '645', '549', '902', '366']
['178', '556', '821', '873', '32', '607', '403', '949', '191', '810']
['646', '81', '659', '969', '258', '865', '513', '860', '342', '809']
['500', '459', '30', '198', '963', '714', '185', '144', '123', '536']
['358', '620', '429', '458', '232', '717', '253', '666', '480', '914']
['139', '118', '61', '251', '314', '241', '726', '423', '783', '352']
['801', '147', '878', '105', '193', '764', '932', '901', '78', '933']
['999', '976', '248', '579', '998', '723', '135', '148', '292', '838']
['131', '573', '128', '742', '964', '610', '621', '224', '956', '899']
['150', '341', '779', '788', '587', '797', '25', '381', '318', '484']
['143', '596', '591', '649', '474', '242', '831', '679', '186', '794']
['368', '740', '215', '86', '107', '476', '34', '259', '546', '104']
['43', '5', '853', '132', '578', '189', '543', '40', '359', '671']
['685', '526', '393', '354', '299', '803', '115', '995', '367', '665']
['309', '291', '743', '239', '188', '926', '992', '961', '611', '684']
['967', '212', '313', '718', '456', '250', '561', '541', '550', '637']
['531', '67', '584', '631', '411', '813', '603', '924', '771', '418']
['939', '332', '24', '235', '455', '134', '614', '68', '168', '973']
['100', '715', '64', '4', '395', '125', '856', '114', '179', '688']
['33', '306', '800', '2', '38', '650', '775', '722', '133', '784']
['690', '302', '103', '356', '214', '903', '564', '252', '53', '409']
['427', '552', '146', '94', '818', '282', '847', '451', '390', '466']
['31', '434', '940', '485', '728', '433', '37', '145', '880', '349']
['181', '281', '286', '180', '955', '153', '62', '36', '950', '870']
['604', '18', '190', '52', '79', '704', '919', '763', '820', '192']
['277', '59', '396', '431', '156', '177', '372', '778', '170', '220']
['776', '538', '288', '915', '861', '602', '741', '296', '699', '438']
['686', '516', '98', '574', '46', '840', '26', '661', '922', '609']
['152', '361', '422', '218', '566', '691', '532', '971', '682', '547']
['315', '811', '927', '141', '210', '673', '804', '222', '227', '559']
['357', '738', '657', '137', '522', '833', '595', '50', '814', '780']
['158', '60', '739', '398', '819', '551', '238', '49', '405', '122']
['257', '625', '752', '69', '343', '424', '786', '793', '832', '725']
['6', '635', '841', '264', '761', '387', '951', '194', '436', '890']
['883', '660', '446', '798', '854', '572', '959', '228', '807', '751']
['269', '12', '392', '785', '643', '89', '732', '585', '473', '319']
['900', '835', '674', '978', '204', '560', '221', '514', '834', '272']
['815', '443', '350', '827', '499', '488', '705', '886', '839', '70']
['63', '127', '912', '495', '928', '87', '35', '849', '701', '866']
['563', '344', '289', '360', '910', '539', '991', '452', '908', '676']
['953', '48', '76', '663', '20', '652', '373', '891', '993', '528']
['380', '58', '980', '432', '746', '979', '439', '648', '846', '294']
['335', '448', '209', '618', '600', '255', '166', '256', '482', '670']
['863', '93', '962', '534', '558', '626', '449', '467', '197', '348']
['338', '457', '503', '790', '909', '464', '787', '493', '947', '703']
['937', '582', '893', '520', '80', '202', '65', '858', '678', '692']
['155', '792', '824', '974', '365', '364', '265', '727', '39', '489']
['29', '126', '386', '442', '362', '636', '136', '507', '568', '627']
['159', '931', '985', '47', '750', '401', '430', '254', '279', '911']
['414', '828', '975', '994', '731', '8', '606', '249', '913', '371']
['73', '623', '667', '23', '465', '440', '845', '697', '765', '997']
['749', '400', '867', '789', '290', '533', '525', '298', '736', '943']
['757', '767', '624', '163', '544', '753', '90', '130', '852', '952']
['378', '580', '712', '598', '642', '187', '101', '453', '496', '384']
['677', '720', '716', '988', '730', '592', '664', '882', '382', '312']
['889', '95', '217', '276', '658', '862', '744', '816', '353', '768']
['747', '169', '323', '734', '92', '339', '826', '669', '284', '21']
['16', '850', '996', '897', '517', '388', '977', '619', '472', '201']
['957', '829', '486', '297', '370', '334', '173', '581', '925', '491']
['492', '320', '708', '351', '825', '172', '806', '329', '138', '906']
['639', '230', '589', '479', '278', '689', '416', '66', '808', '706']
['404', '505', '494', '225', '656', '129', '19', '117', '733', '91']
['864', '471', '327', '108', '936', '896', '196', '945', '421', '261']
['737', '535', '247', '879', '74', '183', '530', '164', '337', '874']
['355', '844', '203', '553', '681', '55', '966', '680', '622', '28']
['876', '511', '877', '167', '905', '895', '266', '721', '391', '823']
['77', '817', '460', '17', '240', '346', '590', '938', '226', '263']
['518', '916', '983', '394', '412', '884', '512', '410', '347', '262']
['483', '586', '270', '523', '687', '990', '237', '929', '44', '111']
['182', '437', '984', '599', '498', '634', '754', '545', '243', '812']
['638', '72', '521', '796', '830', '693', '565', '782', '954', '918']
['99', '478', '441', '96', '555', '601', '958', '295', '454', '904']
['142', '419', '402', '524', '244', '85', '773', '986', '333', '791']
['273', '769', '216', '271', '305', '213', '328', '537', '300', '231']
['14', '426', '719', '695', '710', '116', '843', '54', '888', '308']
['698', '851', '311', '569', '755', '56', '871', '84', '1', '51']
['307', '972', '407', '694', '301', '989', '855', '287', '759', '640']
['930', '377', '554', '781', '42', '548', '981', '477', '475', '160']
['799', '615', '447', '450', '970', '326', '617', '330', '641', '322']
['921', '120', '960', '363', '795', '481', '245', '633', '174', '304']
['369', '527', '711', '502', '379', '588', '267', '597', '772', '83']
['982', '683', '567', '593', '324', '71', '154', '331', '22', '748']
['175', '859', '205', '868', '506', '124', '211', '88', '709', '583']
['389', '11', '968', '942', '268', '519', '557', '3', '470', '200']
['632', '208', '713', '162', '575', '425', '672', '608', '161', '45']
['501', '0', '887', '374', '655', '219', '149', '233', '9', '729']
['948', '702', '303', '707', '461', '562', '280', '529', '206', '696']
['10', '321', '285', '881', '612', '510', '651', '774', '542', '837']
['487', '383', '260', '576', '508', '15', '385', '336', '102', '165']
['340', '644', '375', '199', '944', '941', '469', '540', '316', '965']
['317', '842', '293', '223', '630', '75', '195', '234', '345', '106']
['420', '468', '616', '435', '577', '923', '119', '151', '110', '934']
['885', '406', '872', '605', '515', '654', '613', '735', '462', '570']
['444', '848', '857', '399', '408', '987', '275', '675', '113', '428']
['628', '57', '802', '157', '662', '700', '490', '770', '415', '898']
['112', '745', '756', '445', '668', '571', '325', '762', '97', '653']
['836', '207', '376', '946', '805', '894', '504', '509', '463', '246']
['283', '594', '41', '171', '27', '629', '758', '935', '140', '497']
['892', '417', '875', '236', '397', '822', '907', '109', '229', '274']
