['748', '666', '727', '568', '484', '210', '433', '328', '16', '446', '370', '365', '188', '340', '816', '39', '120', '371', '881', '996', '389', '778', '731', '864', '24']
['637', '602', '216', '761', '939', '135', '912', '775', '207', '373', '465', '705', '617', '359', '858', '992', '257', '146', '685', '494', '966', '198', '726', '746', '137']
['684', '575', '382', '192', '538', '938', '306', '735', '781', '739', '270', '626', '797', '361', '380', '97', '647', '262', '663', '902', '529', '486', '547', '504', '358']
['398', '385', '887', '227', '285', '841', '937', '259', '417', '78', '825', '229', '57', '789', '655', '15', '322', '439', '265', '670', '106', '933', '790', '948', '952']
['570', '107', '128', '325', '991', '379', '368', '243', '458', '7', '58', '874', '884', '307', '36', '734', '954', '733', '572', '184', '282', '205', '878', '202', '14']
['517', '492', '247', '725', '51', '706', '367', '720', '223', '90', '556', '381', '334', '436', '819', '462', '237', '344', '339', '765', '709', '311', '450', '567', '118']
['743', '900', '892', '603', '336', '467', '45', '418', '333', '845', '910', '490', '935', '166', '543', '452', '642', '217', '586', '500', '772', '427', '554', '791', '994']
['399', '650', '754', '521', '463', '443', '100', '888', '908', '711', '943', '301', '213', '843', '803', '812', '696', '38', '391', '349', '882', '479', '557', '863', '722']
['831', '866', '919', '431', '628', '904', '343', '183', '19', '503', '351', '530', '745', '620', '132', '625', '580', '242', '942', '402', '377', '661', '501', '749', '290']
['92', '769', '264', '582', '263', '3', '434', '839', '187', '588', '76', '652', '341', '528', '820', '852', '65', '147', '126', '295', '404', '143', '649', '800', '148']
['481', '804', '944', '589', '766', '675', '799', '420', '814', '927', '93', '35', '150', '424', '440', '635', '103', '364', '703', '569', '982', '681', '997', '679', '865']
['961', '155', '356', '435', '411', '827', '838', '226', '656', '792', '777', '136', '318', '669', '519', '21', '266', '303', '834', '833', '105', '794', '899', '129', '160']
['50', '430', '920', '716', '468', '993', '694', '169', '425', '600', '489', '17', '280', '249', '795', '668', '28', '719', '256', '104', '112', '687', '144', '870', '487']
['476', '629', '971', '951', '488', '40', '149', '410', '236', '171', '712', '678', '300', '995', '277', '326', '550', '534', '12', '37', '445', '194', '62', '444', '925']
['651', '742', '968', '691', '577', '771', '522', '860', '551', '698', '660', '346', '442', '355', '246', '928', '386', '230', '1', '764', '41', '796', '400', '49', '64']
['482', '674', '298', '232', '139', '759', '70', '846', '153', '741', '715', '611', '526', '10', '199', '409', '950', '634', '497', '288', '654', '767', '907', '360', '713']
['752', '527', '891', '697', '510', '512', '903', '587', '507', '254', '324', '541', '606', '369', '276', '724', '438', '215', '131', '873', '702', '895', '429', '998', '740']
['815', '729', '180', '413', '383', '162', '117', '84', '271', '847', '80', '211', '836', '924', '269', '48', '807', '18', '116', '478', '544', '156', '407', '536', '893']
['508', '989', '416', '909', '676', '897', '327', '990', '323', '110', '593', '753', '299', '632', '317', '395', '275', '732', '581', '828', '6', '695', '967', '320', '578']
['736', '532', '296', '770', '61', '901', '319', '220', '619', '561', '273', '590', '756', '248', '981', '596', '610', '231', '315', '455', '558', '659', '87', '511', '872']
['414', '879', '738', '700', '623', '717', '81', '573', '238', '289', '829', '113', '976', '470', '701', '397', '960', '304', '597', '335', '297', '201', '54', '85', '68']
['357', '686', '721', '751', '178', '268', '607', '690', '653', '348', '793', '483', '29', '174', '32', '159', '931', '783', '214', '491', '437', '657', '916', '851', '138']
['658', '493', '955', '401', '461', '415', '375', '932', '984', '612', '953', '466', '245', '123', '978', '337', '419', '999', '221', '472', '683', '723', '252', '316', '496']
['929', '584', '102', '460', '614', '786', '181', '542', '292', '693', '946', '454', '59', '876', '677', '898', '115', '591', '261', '154', '768', '27', '579', '525', '645']
['975', '233', '387', '88', '422', '737', '502', '69', '744', '667', '823', '763', '22', '835', '549', '13', '539', '52', '161', '451', '209', '518', '127', '545', '182']
['388', '760', '206', '621', '283', '179', '810', '826', '616', '8', '133', '784', '294', '520', '82', '958', '172', '449', '197', '513', '72', '506', '665', '168', '639']
['308', '366', '516', '99', '918', '240', '167', '973', '329', '585', '643', '309', '25', '601', '773', '44', '293', '279', '849', '861', '571', '101', '77', '350', '250']
['193', '34', '926', '762', '224', '914', '66', '648', '856', '9', '505', '842', '890', '189', '664', '378', '850', '394', '480', '423', '91', '53', '170', '913', '963']
['886', '408', '689', '945', '196', '594', '523', '757', '646', '811', '540', '208', '682', '868', '384', '134', '464', '774', '755', '305', '979', '780', '353', '566', '177']
['30', '234', '940', '281', '728', '704', '441', '559', '911', '604', '498', '272', '776', '67', '4', '613', '618', '291', '818', '255', '986', '595', '403', '552', '688']
['23', '141', '212', '142', '86', '514', '96', '95', '718', '200', '813', '219', '988', '574', '798', '562', '130', '79', '969', '98', '671', '20', '699', '605', '75']
['228', '151', '173', '633', '555', '930', '73', '854', '60', '894', '186', '622', '867', '74', '432', '471', '565', '195', '531', '974', '175', '947', '157', '119', '286']
['185', '641', '962', '235', '758', '782', '598', '533', '880', '56', '714', '785', '447', '83', '372', '457', '987', '474', '859', '284', '537', '152', '46', '0', '970']
['204', '89', '473', '806', '983', '71', '592', '176', '949', '165', '302', '921', '332', '871', '312', '672', '258', '788', '837', '218', '787', '47', '42', '956', '896']
['779', '239', '844', '640', '750', '817', '934', '857', '5', '244', '485', '801', '313', '396', '352', '636', '624', '203', '426', '644', '730', '321', '469', '108', '314']
['564', '421', '376', '278', '548', '869', '362', '875', '158', '535', '354', '310', '941', '94', '824', '392', '980', '428', '608', '406', '885', '906', '121', '43', '26']
['615', '964', '338', '524', '673', '708', '583', '923', '959', '576', '599', '124', '710', '412', '287', '63', '805', '459', '662', '145', '822', '2', '853', '877', '917']
['363', '274', '477', '251', '163', '190', '109', '253', '456', '114', '965', '808', '140', '499', '680', '260', '222', '905', '495', '33', '475', '191', '915', '627', '630']
['347', '553', '862', '393', '448', '936', '453', '125', '985', '111', '164', '692', '832', '972', '631', '509', '225', '809', '405', '609', '922', '122', '840', '802', '957']
['560', '848', '638', '977', '55', '855', '883', '331', '546', '515', '707', '11', '267', '342', '31', '889', '374', '747', '821', '390', '345', '241', '563', '330', '830']
