['394', '362', '204', '735', '520', '49', '464', '406', '65', '254', '732', '5', '400', '744', '147', '41', '456', '402', '23', '662', '572', '374', '448', '325', '571', '451', '478', '135', '245', '540', '587', '383', '604', '407', '635', '52', '734', '77', '623', '741', '19', '469', '382', '14', '642', '22', '275', '356', '435', '175']
['363', '30', '104', '728', '576', '516', '460', '191', '139', '202', '599', '144', '630', '62', '603', '229', '524', '338', '298', '231', '172', '634', '556', '709', '81', '370', '235', '536', '25', '493', '199', '152', '501', '377', '327', '713', '230', '289', '461', '393', '652', '126', '600', '559', '291', '270', '116', '742', '627', '450']
['534', '284', '215', '597', '211', '558', '492', '86', '273', '416', '343', '26', '357', '177', '98', '277', '512', '626', '9', '280', '47', '224', '643', '268', '397', '409', '428', '681', '10', '387', '570', '176', '525', '666', '109', '24', '529', '613', '252', '345', '727', '208', '271', '196', '670', '602', '219', '339', '665', '646']
['533', '189', '373', '513', '123', '313', '504', '724', '262', '541', '445', '649', '617', '137', '615', '398', '444', '4', '195', '1', '426', '337', '372', '583', '562', '498', '326', '510', '355', '150', '265', '194', '619', '99', '161', '442', '390', '107', '685', '521', '388', '267', '420', '365', '458', '441', '698', '129', '76', '198']
['566', '376', '483', '699', '233', '473', '335', '169', '92', '622', '668', '237', '607', '38', '46', '710', '447', '210', '297', '689', '465', '244', '655', '645', '82', '565', '490', '688', '263', '531', '167', '331', '488', '487', '258', '318', '436', '85', '415', '222', '131', '118', '29', '31', '226', '496', '296', '722', '553', '639']
['725', '121', '302', '366', '181', '434', '675', '138', '292', '27', '674', '68', '384', '417', '368', '54', '61', '663', '214', '676', '730', '701', '703', '90', '253', '305', '371', '470', '720', '631', '91', '640', '677', '418', '239', '248', '170', '557', '596', '122', '661', '354', '721', '279', '102', '238', '276', '522', '205', '159']
['156', '136', '113', '578', '101', '712', '481', '463', '505', '234', '491', '506', '342', '247', '679', '502', '8', '433', '517', '168', '608', '538', '726', '225', '530', '40', '567', '430', '115', '228', '274', '188', '555', '379', '748', '526', '745', '378', '680', '647', '591', '57', '117', '250', '48', '423', '629', '240', '561', '266']
['432', '323', '657', '574', '706', '295', '729', '367', '286', '716', '103', '36', '282', '32', '217', '650', '715', '261', '438', '301', '537', '153', '186', '584', '749', '197', '110', '532', '346', '209', '160', '696', '319', '621', '704', '579', '179', '140', '453', '80', '651', '625', '13', '330', '544', '405', '18', '500', '479', '459']
['700', '408', '462', '125', '34', '173', '549', '413', '518', '143', '37', '285', '16', '684', '671', '672', '190', '94', '332', '58', '364', '151', '15', '130', '580', '421', '33', '145', '452', '633', '114', '42', '206', '495', '692', '620', '171', '360', '221', '427', '155', '424', '667', '535', '203', '546', '641', '446', '79', '497']
['585', '410', '568', '455', '569', '290', '51', '259', '385', '606', '120', '528', '673', '180', '439', '232', '543', '399', '133', '693', '747', '7', '610', '503', '128', '84', '192', '256', '78', '472', '527', '401', '359', '55', '719', '499', '476', '127', '124', '251', '112', '656', '718', '507', '694', '477', '425', '431', '437', '321']
['50', '314', '480', '344', '454', '738', '93', '157', '299', '577', '731', '396', '89', '43', '336', '636', '105', '87', '380', '711', '611', '691', '243', '419', '637', '146', '174', '404', '320', '88', '72', '212', '467', '310', '83', '304', '644', '324', '592', '485', '294', '35', '523', '182', '659', '746', '149', '28', '216', '6']
['257', '395', '564', '353', '474', '494', '593', '59', '347', '412', '134', '63', '609', '11', '17', '605', '260', '178', '737', '45', '269', '386', '66', '328', '519', '141', '411', '509', '690', '581', '0', '736', '158', '443', '475', '21', '75', '309', '687', '695', '53', '288', '589', '440', '306', '648', '612', '201', '316', '391']
['69', '108', '70', '552', '551', '381', '249', '352', '308', '723', '71', '598', '183', '223', '315', '218', '484', '200', '246', '44', '283', '482', '264', '39', '220', '193', '628', '165', '207', '683', '369', '351', '73', '660', '340', '708', '547', '550', '457', '582', '403', '341', '468', '545', '60', '575', '100', '2', '638', '95']
['573', '361', '67', '96', '185', '358', '184', '293', '414', '311', '56', '236', '508', '97', '471', '348', '594', '287', '717', '375', '163', '111', '601', '429', '514', '148', '664', '164', '669', '227', '241', '588', '213', '333', '74', '307', '486', '322', '714', '686', '3', '119', '64', '682', '392', '466', '334', '349', '449', '281']
['162', '242', '542', '624', '618', '563', '654', '653', '539', '595', '515', '705', '317', '142', '616', '614', '554', '733', '303', '12', '702', '697', '389', '187', '632', '678', '422', '658', '489', '255', '707', '166', '132', '20', '350', '312', '272', '548', '300', '329', '586', '740', '278', '511', '154', '560', '106', '739', '590', '743']
