['226', '828', '820', '109', '246', '726', '236', '74', '475', '864', '748', '64', '463', '136', '685', '215', '790', '551', '122', '557']
['531', '97', '92', '231', '720', '913', '935', '358', '717', '862', '444', '843', '898', '968', '265', '393', '538', '224', '520', '948']
['785', '903', '798', '289', '368', '695', '190', '385', '491', '660', '21', '449', '562', '847', '711', '518', '567', '218', '877', '987']
['665', '404', '280', '465', '433', '846', '969', '166', '861', '730', '259', '245', '895', '39', '982', '718', '286', '490', '739', '157']
['973', '359', '281', '205', '323', '917', '248', '599', '407', '110', '484', '796', '105', '761', '544', '724', '308', '523', '266', '688']
['161', '919', '436', '307', '27', '929', '274', '452', '40', '679', '318', '648', '201', '42', '482', '290', '553', '863', '799', '420']
['716', '715', '287', '409', '526', '558', '956', '442', '60', '775', '638', '722', '179', '403', '56', '657', '624', '564', '54', '437']
['13', '390', '894', '430', '906', '44', '273', '597', '68', '387', '802', '550', '559', '805', '779', '633', '167', '681', '238', '468']
['673', '542', '955', '768', '183', '69', '84', '619', '879', '397', '546', '434', '628', '487', '2', '350', '939', '257', '773', '552']
['772', '651', '788', '6', '73', '14', '313', '593', '447', '272', '90', '945', '381', '787', '692', '126', '505', '887', '509', '119']
['464', '137', '367', '632', '871', '532', '35', '335', '324', '426', '191', '124', '234', '494', '954', '96', '343', '71', '310', '263']
['910', '202', '302', '83', '652', '462', '22', '905', '742', '911', '743', '41', '282', '988', '671', '253', '291', '33', '235', '261']
['493', '182', '489', '472', '842', '727', '733', '28', '132', '30', '32', '966', '943', '188', '827', '204', '333', '129', '473', '579']
['868', '991', '849', '146', '971', '789', '297', '896', '721', '459', '610', '379', '116', '211', '534', '43', '530', '705', '219', '432']
['667', '242', '940', '160', '749', '23', '293', '515', '920', '850', '149', '424', '181', '58', '66', '125', '883', '222', '118', '817']
['50', '584', '932', '498', '322', '332', '668', '783', '554', '686', '445', '529', '396', '52', '963', '777', '374', '410', '258', '961']
['524', '394', '541', '710', '640', '884', '115', '435', '380', '617', '760', '108', '816', '278', '158', '548', '127', '466', '317', '217']
['314', '757', '669', '856', '311', '728', '655', '646', '572', '325', '249', '170', '45', '91', '98', '346', '590', '9', '508', '72']
['154', '151', '569', '353', '950', '937', '321', '173', '601', '145', '990', '180', '855', '141', '936', '186', '923', '392', '626', '114']
['414', '16', '814', '737', '89', '501', '95', '561', '588', '674', '778', '53', '4', '888', '79', '134', '99', '670', '251', '672']
