['588', '24', '753', '951', '561']
['830', '544', '663', '965', '414']
['327', '788', '521', '705', '922']
['369', '262', '45', '608', '235']
['673', '954', '251', '10', '893']
['877', '948', '487', '392', '168']
['672', '186', '660', '824', '768']
['914', '706', '791', '136', '539']
['603', '334', '283', '444', '281']
['411', '831', '25', '305', '658']
['904', '522', '171', '163', '602']
['690', '816', '276', '717', '900']
['929', '621', '156', '642', '333']
['57', '43', '569', '147', '764']
['640', '589', '950', '359', '121']
['878', '991', '944', '546', '315']
['294', '925', '692', '67', '781']
['863', '301', '726', '347', '700']
['646', '381', '427', '698', '230']
['219', '740', '837', '289', '931']
['4', '921', '883', '9', '813']
['909', '566', '285', '267', '657']
['355', '441', '723', '384', '876']
['50', '567', '415', '949', '795']
['879', '930', '370', '173', '391']
['12', '635', '46', '394', '727']
['328', '113', '7', '317', '683']
['779', '354', '959', '371', '847']
['18', '800', '492', '95', '604']
['476', '513', '591', '277', '74']
['894', '596', '54', '214', '22']
['942', '676', '548', '479', '620']
['853', '193', '881', '517', '11']
['577', '784', '571', '551', '809']
['852', '865', '689', '858', '14']
['496', '217', '924', '911', '432']
['785', '849', '651', '431', '702']
['792', '597', '141', '856', '482']
['330', '244', '233', '378', '480']
['910', '343', '344', '641', '250']
['730', '103', '15', '639', '538']
['55', '20', '897', '771', '815']
['638', '782', '82', '859', '880']
['987', '761', '661', '348', '486']
['338', '115', '697', '946', '648']
['601', '808', '439', '413', '465']
['623', '245', '964', '993', '408']
['242', '793', '734', '340', '368']
['554', '309', '69', '189', '314']
['633', '868', '789', '275', '736']
['843', '212', '745', '560', '111']
['405', '875', '738', '385', '999']
['440', '832', '842', '239', '237']
['420', '449', '229', '731', '153']
['770', '463', '225', '713', '618']
['887', '860', '630', '194', '273']
['547', '278', '13', '610', '626']
['798', '360', '666', '576', '498']
['472', '483', '459', '518', '56']
['475', '682', '321', '981', '721']
['688', '805', '520', '598', '708']
['594', '94', '418', '563', '915']
['656', '71', '505', '707', '404']
['846', '318', '668', '416', '122']
['695', '920', '52', '446', '585']
['471', '962', '428', '818', '412']
['605', '324', '72', '433', '582']
['144', '724', '134', '253', '150']
['968', '803', '712', '595', '516']
['773', '231', '524', '234', '710']
['488', '780', '777', '252', '265']
['117', '254', '184', '270', '38']
['647', '162', '955', '927', '323']
['867', '304', '200', '652', '146']
['729', '769', '774', '226', '116']
['543', '806', '464', '174', '28']
['972', '430', '196', '390', '632']
['424', '884', '123', '80', '519']
['493', '759', '960', '443', '917']
['834', '185', '61', '104', '746']
['120', '995', '593', '928', '659']
['611', '78', '573', '739', '961']
['396', '47', '350', '693', '862']
['271', '986', '311', '882', '68']
['187', '220', '703', '530', '3']
['720', '306', '178', '983', '963']
['677', '678', '280', '421', '796']
['752', '138', '619', '939', '161']
['970', '514', '978', '199', '613']
['238', '711', '653', '458', '617']
['337', '541', '592', '213', '685']
['356', '935', '274', '58', '383']
['892', '848', '442', '310', '364']
['37', '450', '66', '751', '533']
['406', '36', '77', '372', '109']
['499', '159', '181', '535', '891']
['269', '956', '654', '329', '468']
['966', '812', '60', '130', '166']
['810', '83', '937', '749', '258']
['379', '445', '799', '436', '90']
['208', '587', '128', '426', '549']
['718', '902', '290', '59', '982']
['814', '997', '284', '650', '957']
['704', '510', '662', '583', '228']
['545', '767', '224', '716', '679']
['556', '65', '495', '386', '797']
['175', '232', '154', '821', '523']
['801', '841', '259', '872', '87']
['188', '425', '542', '643', '388']
['456', '23', '885', '91', '984']
['725', '719', '143', '191', '870']
['744', '375', '256', '101', '822']
['829', '119', '241', '293', '526']
['410', '637', '696', '760', '889']
['886', '467', '204', '644', '461']
['291', '975', '27', '272', '820']
['581', '572', '133', '506', '952']
['157', '802', '874', '469', '423']
['507', '783', '89', '969', '932']
['453', '709', '448', '869', '988']
['400', '497', '748', '714', '977']
['17', '435', '936', '393', '282']
['263', '434', '322', '63', '30']
['264', '316', '451', '455', '261']
['247', '339', '206', '437', '737']
['460', '452', '62', '429', '574']
['249', '895', '490', '402', '307']
['75', '470', '33', '866', '313']
['126', '807', '26', '353', '257']
['287', '502', '664', '532', '747']
['565', '536', '555', '105', '325']
['165', '896', '898', '629', '198']
['169', '786', '945', '557', '919']
['377', '216', '758', '515', '131']
['912', '399', '989', '686', '941']
['854', '114', '636', '292', '358']
['722', '403', '575', '320', '839']
['622', '382', '286', '501', '478']
['776', '994', '634', '890', '976']
['142', '474', '624', '558', '509']
['763', '32', '86', '835', '550']
['715', '974', '79', '124', '106']
['819', '531', '397', '511', '129']
['29', '772', '628', '170', '164']
['728', '139', '376', '49', '5']
['398', '203', '484', '958', '279']
['110', '345', '687', '645', '0']
['179', '899', '684', '268', '590']
['794', '19', '243', '108', '401']
['112', '905', '826', '973', '845']
['655', '817', '218', '205', '197']
['210', '39', '366', '674', '395']
['864', '342', '485', '298', '299']
['840', '494', '332', '149', '107']
['51', '373', '246', '481', '40']
['302', '35', '34', '504', '787']
['534', '295', '552', '649', '132']
['135', '21', '669', '990', '466']
['102', '934', '346', '248', '665']
['2', '457', '529', '699', '182']
['64', '462', '825', '190', '599']
['155', '84', '240', '53', '681']
['528', '227', '838', '419', '177']
['908', '409', '667', '823', '266']
['985', '916', '96', '44', '99']
['836', '564', '953', '743', '580']
['335', '341', '901', '940', '160']
['906', '349', '489', '612', '926']
['387', '236', '183', '691', '570']
['933', '222', '855', '888', '93']
['407', '670', '857', '137', '615']
['503', '422', '70', '389', '609']
['765', '215', '614', '600', '76']
['844', '151', '92', '477', '938']
['861', '41', '756', '336', '733']
['300', '694', '525', '374', '127']
['255', '438', '579', '192', '308']
['380', '675', '1', '871', '980']
['297', '98', '223', '148', '88']
['671', '158', '508', '742', '303']
['971', '118', '540', '209', '553']
['537', '16', '195', '351', '152']
['947', '8', '625', '631', '755']
['447', '586', '967', '491', '827']
['319', '757', '741', '750', '616']
['145', '85', '365', '918', '811']
['775', '680', '167', '352', '979']
['735', '140', '701', '31', '42']
['176', '790', '48', '97', '362']
['606', '992', '288', '627', '207']
['211', '357', '6', '417', '568']
['180', '903', '363', '850', '584']
['361', '578', '559', '762', '512']
['326', '754', '500', '778', '331']
['732', '562', '527', '312', '202']
['454', '873', '913', '201', '73']
['833', '367', '296', '923', '804']
['100', '851', '221', '996', '81']
['907', '260', '943', '766', '125']
['473', '172', '828', '607', '998']
