['763', '700', '356', '690', '101', '654', '394', '467', '893', '942', '200', '364', '737', '877', '444', '243', '31', '208', '336', '268', '977', '64', '498', '267', '762', '245', '949', '129', '297', '377', '912', '765', '458', '873', '844', '196', '970', '40', '325', '686', '833', '385', '422', '614', '722', '698', '100', '544', '282', '510']
['235', '212', '412', '892', '491', '429', '410', '33', '342', '451', '603', '249', '712', '399', '919', '720', '955', '517', '348', '891', '788', '140', '438', '710', '594', '416', '274', '460', '523', '917', '916', '391', '132', '553', '142', '439', '147', '550', '701', '876', '551', '718', '532', '822', '611', '840', '310', '73', '953', '655']
['514', '944', '496', '0', '658', '831', '204', '20', '446', '640', '791', '386', '903', '397', '587', '50', '515', '754', '109', '533', '43', '644', '276', '781', '44', '575', '457', '478', '593', '841', '463', '68', '487', '636', '818', '727', '883', '889', '767', '499', '371', '260', '352', '837', '194', '434', '766', '236', '202', '130']
['854', '874', '731', '992', '590', '563', '484', '959', '536', '107', '909', '940', '339', '477', '652', '372', '25', '539', '739', '920', '51', '973', '58', '885', '119', '946', '366', '431', '682', '57', '691', '124', '298', '726', '801', '617', '962', '5', '170', '228', '785', '584', '165', '436', '387', '842', '322', '148', '409', '582']
['199', '99', '714', '968', '826', '668', '475', '246', '610', '19', '824', '400', '221', '583', '665', '683', '117', '755', '606', '778', '651', '359', '568', '787', '53', '88', '745', '518', '432', '36', '259', '23', '757', '209', '136', '405', '450', '542', '578', '957', '469', '799', '816', '756', '914', '248', '95', '456', '37', '793']
['862', '843', '814', '516', '402', '783', '156', '915', '300', '887', '994', '847', '821', '978', '565', '341', '782', '729', '586', '494', '423', '983', '717', '995', '388', '930', '770', '662', '609', '376', '173', '804', '918', '534', '709', '230', '637', '938', '154', '162', '191', '571', '217', '169', '888', '626', '495', '860', '981', '299']
['612', '184', '284', '241', '999', '468', '295', '569', '232', '264', '254', '403', '706', '329', '247', '867', '719', '296', '707', '404', '161', '750', '769', '834', '347', '157', '634', '792', '827', '462', '306', '562', '275', '112', '210', '599', '864', '211', '796', '573', '3', '502', '552', '327', '76', '331', '123', '530', '613', '96']
['752', '278', '657', '911', '861', '85', '687', '736', '90', '627', '566', '728', '253', '70', '512', '596', '673', '390', '92', '308', '699', '6', '26', '635', '426', '507', '557', '741', '287', '886', '271', '708', '922', '733', '692', '27', '829', '384', '56', '233', '931', '541', '772', '238', '47', '913', '219', '369', '932', '639']
['111', '511', '943', '570', '289', '309', '589', '351', '777', '4', '641', '881', '227', '625', '288', '398', '851', '71', '378', '835', '381', '206', '497', '585', '528', '28', '374', '304', '408', '102', '344', '459', '137', '598', '9', '795', '350', '110', '508', '48', '223', '580', '334', '561', '579', '702', '529', '181', '632', '646']
['316', '69', '775', '501', '108', '224', '415', '218', '567', '902', '592', '461', '735', '773', '993', '828', '489', '774', '368', '759', '547', '363', '974', '291', '269', '470', '810', '367', '32', '205', '653', '231', '908', '616', '12', '54', '936', '81', '803', '15', '256', '1', '935', '198', '744', '421', '556', '972', '66', '7']
['798', '705', '910', '338', '725', '443', '836', '244', '144', '120', '328', '153', '185', '226', '38', '933', '340', '292', '838', '990', '987', '251', '396', '138', '159', '669', '471', '488', '13', '319', '869', '479', '263', '986', '74', '985', '904', '779', '872', '630', '667', '601', '29', '830', '490', '493', '656', '441', '86', '11']
['681', '758', '564', '315', '72', '713', '790', '742', '480', '859', '581', '265', '203', '301', '234', '333', '195', '430', '929', '312', '59', '969', '160', '357', '305', '125', '242', '928', '967', '345', '576', '343', '923', '122', '939', '574', '650', '17', '34', '18', '704', '145', '997', '806', '261', '954', '355', '82', '414', '250']
['513', '554', '240', '93', '980', '890', '522', '318', '373', '521', '768', '91', '42', '121', '732', '738', '411', '504', '703', '963', '753', '465', '175', '819', '133', '311', '128', '951', '442', '794', '560', '975', '805', '808', '813', '103', '179', '45', '855', '55', '643', '433', '761', '540', '266', '602', '220', '21', '880', '172']
['116', '98', '543', '524', '189', '509', '621', '290', '60', '332', '966', '857', '114', '633', '337', '856', '786', '907', '483', '711', '921', '807', '749', '608', '537', '89', '723', '642', '941', '8', '607', '531', '976', '151', '956', '272', '188', '75', '675', '697', '392', '660', '848', '166', '2', '897', '286', '538', '894', '950']
['134', '661', '313', '688', '863', '293', '865', '672', '346', '937', '600', '225', '685', '383', '216', '131', '428', '279', '558', '832', '789', '113', '823', '321', '285', '716', '455', '425', '846', '746', '526', '958', '424', '255', '127', '139', '926', '871', '666', '307', '952', '379', '694', '527', '326', '505', '849', '78', '239', '62']
